report_date,total_purchase_amt
2014-03-01,362865580
2014-03-02,276202230
2014-03-03,505305862
2014-03-04,524146340
2014-03-05,454295491
2014-03-06,561787770
2014-03-07,380139779
2014-03-08,243274169
2014-03-09,244752519
2014-03-10,497338076
2014-03-11,430500816
2014-03-12,377007897
2014-03-13,346286910
2014-03-14,315897431
2014-03-15,287407002
2014-03-16,269387391
2014-03-17,339008082
2014-03-18,435479117
2014-03-19,359014064
2014-03-20,365011495
2014-03-21,282351818
2014-03-22,191700135
2014-03-23,167456369
2014-03-24,313180334
2014-03-25,314345006
2014-03-26,272935544
2014-03-27,266231082
2014-03-28,225966355
2014-03-29,160250985
2014-03-30,205533934
2014-03-31,398884905
2014-04-01,453320585
2014-04-02,355347118
2014-04-03,363877120
2014-04-04,251895894
2014-04-05,202336542
2014-04-06,129477254
2014-04-07,196936223
2014-04-08,354770149
2014-04-09,383347565
2014-04-10,386567460
2014-04-11,237829882
2014-04-12,177642053
2014-04-13,208172985
2014-04-14,309853269
2014-04-15,428681231
2014-04-16,387847838
2014-04-17,355792647
2014-04-18,239300383
2014-04-19,268729366
2014-04-20,191259529
2014-04-21,301134667
2014-04-22,285248757
2014-04-23,313677307
2014-04-24,318358891
2014-04-25,220927432
2014-04-26,151625415
2014-04-27,146837951
2014-04-28,324937272
2014-04-29,330607104
2014-04-30,260091330
2014-05-01,193045106
2014-05-02,125336258
2014-05-03,185094488
2014-05-04,303087562
2014-05-05,370924149
2014-05-06,318002728
2014-05-07,417327518
2014-05-08,392838756
2014-05-09,281479009
2014-05-10,287240171
2014-05-11,182424063
2014-05-12,325108597
2014-05-13,275241493
2014-05-14,305474522
2014-05-15,313367089
2014-05-16,231967423
2014-05-17,170983868
2014-05-18,164419642
2014-05-19,259077930
2014-05-20,453955303
2014-05-21,297799722
2014-05-22,344636549
2014-05-23,249546195
2014-05-24,160073254
2014-05-25,166943526
2014-05-26,344890868
2014-05-27,299049555
2014-05-28,276134813
2014-05-29,320549863
2014-05-30,226547701
2014-05-31,146823669
2014-06-01,183489775
2014-06-02,158219402
2014-06-03,270887462
2014-06-04,274460744
2014-06-05,380042567
2014-06-06,301413900
2014-06-07,187801995
2014-06-08,302171269
2014-06-09,366114374
2014-06-10,354031597
2014-06-11,327661453
2014-06-12,332365185
2014-06-13,216923770
2014-06-14,181574530
2014-06-15,166080126
2014-06-16,387308484
2014-06-17,270350693
2014-06-18,335262709
2014-06-19,338609087
2014-06-20,251582530
2014-06-21,177999186
2014-06-22,147180819
2014-06-23,232227670
2014-06-24,245450766
2014-06-25,264663201
2014-06-26,297628039
2014-06-27,264282703
2014-06-28,153826161
2014-06-29,158801540
2014-06-30,334054112
2014-07-01,384428753
2014-07-02,384555819
2014-07-03,297894643
2014-07-04,211649838
2014-07-05,169383796
2014-07-06,199569025
2014-07-07,272182847
2014-07-08,224240103
2014-07-09,278005555
2014-07-10,283095921
2014-07-11,208671021
2014-07-12,177644343
2014-07-13,179759885
2014-07-14,254797524
2014-07-15,334810012
2014-07-16,394890140
2014-07-17,253011280
2014-07-18,208959595
2014-07-19,210318023
2014-07-20,176449304
2014-07-21,378088594
2014-07-22,243084133
2014-07-23,265461894
2014-07-24,277044480
2014-07-25,181641088
2014-07-26,128268053
2014-07-27,151406251
2014-07-28,371762756
2014-07-29,228093046
2014-07-30,209917272
2014-07-31,191728916
2014-08-01,374884735
2014-08-02,189092130
2014-08-03,173825397
2014-08-04,330640884
2014-08-05,394780870
2014-08-06,288821016
2014-08-07,247646474
2014-08-08,233903717
2014-08-09,160262764
2014-08-10,259534870
2014-08-11,331550471
2014-08-12,258493673
2014-08-13,261506619
2014-08-14,257702660
2014-08-15,244551620
2014-08-16,215059736
2014-08-17,149978271
2014-08-18,298499146
2014-08-19,266401973
2014-08-20,308378692
2014-08-21,251763517
2014-08-22,246316056
2014-08-23,141412027
2014-08-24,130195484
2014-08-25,309574223
2014-08-26,306945089
2014-08-27,302194801
2014-08-28,245082751
2014-08-29,267554713
2014-08-30,199708772
2014-08-31,275090213
