report_date,total_redeem_amt
2014-03-01,211279011
2014-03-02,246199417
2014-03-03,513017360
2014-03-04,250562978
2014-03-05,209072753
2014-03-06,243149884
2014-03-07,291087220
2014-03-08,140323202
2014-03-09,206312503
2014-03-10,308040624
2014-03-11,496039886
2014-03-12,416491268
2014-03-13,316973542
2014-03-14,311575572
2014-03-15,242799048
2014-03-16,390584547
2014-03-17,440624592
2014-03-18,410240726
2014-03-19,429298917
2014-03-20,336076380
2014-03-21,259655286
2014-03-22,138039412
2014-03-23,186443311
2014-03-24,437825259
2014-03-25,312710515
2014-03-26,450254233
2014-03-27,359071642
2014-03-28,405443946
2014-03-29,155006056
2014-03-30,264714811
2014-03-31,423852634
2014-04-01,277429358
2014-04-02,272612066
2014-04-03,266605457
2014-04-04,200192637
2014-04-05,163199682
2014-04-06,139576683
2014-04-07,176966561
2014-04-08,250015131
2014-04-09,289330278
2014-04-10,286914864
2014-04-11,277077434
2014-04-12,123295320
2014-04-13,178934722
2014-04-14,415986984
2014-04-15,285293076
2014-04-16,255914640
2014-04-17,265341592
2014-04-18,225952909
2014-04-19,146374940
2014-04-20,161057781
2014-04-21,295635256
2014-04-22,268810141
2014-04-23,278470936
2014-04-24,224536754
2014-04-25,227764292
2014-04-26,158122962
2014-04-27,191915377
2014-04-28,327724735
2014-04-29,307578349
2014-04-30,281835975
2014-05-01,143362755
2014-05-02,121222064
2014-05-03,199568043
2014-05-04,413222034
2014-05-05,309330781
2014-05-06,341108696
2014-05-07,239372999
2014-05-08,273187499
2014-05-09,247743971
2014-05-10,147248328
2014-05-11,152945581
2014-05-12,293952908
2014-05-13,257918375
2014-05-14,316225442
2014-05-15,238307643
2014-05-16,282094916
2014-05-17,145854372
2014-05-18,153440019
2014-05-19,293791406
2014-05-20,260040720
2014-05-21,250223726
2014-05-22,251108485
2014-05-23,229000787
2014-05-24,154409868
2014-05-25,231004758
2014-05-26,274707572
2014-05-27,321965845
2014-05-28,415891684
2014-05-29,313827800
2014-05-30,312802179
2014-05-31,142862063
2014-06-01,149829253
2014-06-02,170409506
2014-06-03,385622582
2014-06-04,303978838
2014-06-05,355645445
2014-06-06,274862067
2014-06-07,146203577
2014-06-08,169525332
2014-06-09,287520152
2014-06-10,298190025
2014-06-11,246127540
2014-06-12,236467885
2014-06-13,386799040
2014-06-14,229916191
2014-06-15,116623756
2014-06-16,492349489
2014-06-17,502560223
2014-06-18,421920230
2014-06-19,284956260
2014-06-20,286583065
2014-06-21,231003775
2014-06-22,361285652
2014-06-23,373779624
2014-06-24,428471509
2014-06-25,547295931
2014-06-26,418742109
2014-06-27,399444352
2014-06-28,283400236
2014-06-29,261170799
2014-06-30,456547794
2014-07-01,374164541
2014-07-02,328950951
2014-07-03,289009780
2014-07-04,264494550
2014-07-05,272535138
2014-07-06,195530758
2014-07-07,317612569
2014-07-08,340453063
2014-07-09,269642881
2014-07-10,326009240
2014-07-11,240050748
2014-07-12,149081488
2014-07-13,199459990
2014-07-14,284753279
2014-07-15,261722182
2014-07-16,234775948
2014-07-17,298279385
2014-07-18,208671287
2014-07-19,155464283
2014-07-20,174462836
2014-07-21,434191479
2014-07-22,369043423
2014-07-23,308353077
2014-07-24,347622431
2014-07-25,262874791
2014-07-26,282653341
2014-07-27,166610652
2014-07-28,345986909
2014-07-29,303480103
2014-07-30,250117716
2014-07-31,277194379
2014-08-01,252540858
2014-08-02,172250225
2014-08-03,127125217
2014-08-04,322907524
2014-08-05,221706539
2014-08-06,282346594
2014-08-07,253659514
2014-08-08,311648757
2014-08-09,163611708
2014-08-10,189909225
2014-08-11,418603336
2014-08-12,309754858
2014-08-13,303975517
2014-08-14,211939431
2014-08-15,236516007
2014-08-16,219214339
2014-08-17,139564084
2014-08-18,259169016
2014-08-19,254929877
2014-08-20,202452782
2014-08-21,219963356
2014-08-22,179349206
2014-08-23,199377531
2014-08-24,191080151
2014-08-25,312413411
2014-08-26,285478563
2014-08-27,468164147
2014-08-28,297893861
2014-08-29,273756380
2014-08-30,196374134
2014-08-31,292943033
