report_date,purchase,redeem
20140901,321362135,323733835
20140902,331178881,335623320
20140903,337960226,339592923
20140904,336264624,333045035
20140905,256967350,261659430
20140906,194894701,208471976
20140907,243011066,256873929
20140908,305625541,321729221
20140909,316894461,337180971
20140910,332614124,347829744
20140911,326277479,335540240
20140912,246011833,261214109
20140913,192045281,214890017
20140914,239021194,261953955
20140915,295584981,319944729
20140916,312449814,339717937
20140917,333657862,355366492
20140918,321976584,337424315
20140919,241168100,261737644
20140920,193629726,221427868
20140921,237948596,266053308
20140922,289180603,318532900
20140923,311359109,343016364
20140924,336304650,362162929
20140925,319387447,338926700
20140926,238829581,263156437
20140927,196521042,227900501
20140928,237384421,269333350
20140929,284294958,317593027
20140930,311608931,346872403
