report_date,purchase,redeem
20140901,330214354,323855265
20140902,330731243,335868127
20140903,278810516,339552981
20140904,277278652,332977788
20140905,267479659,261806696
20140906,225578412,208498006
20140907,251460768,256751423
20140908,325828242,321845352
20140909,322925951,337402221
20140910,275070598,347804185
20140911,274198526,335491607
20140912,265863837,261345238
20140913,224473912,214908682
20140914,249753903,261847692
20140915,323716391,320056223
20140916,321600396,339922191
20140917,274576797,355351428
20140918,274089612,337390152
20140919,266292353,261858192
20140920,224976482,221440287
20140921,249252210,265957801
20140922,322522599,318641466
20140923,320952684,343207691
20140924,274582090,362154734
20140925,274346238,338905058
20140926,266990517,263270612
20140927,225691241,227906418
20140928,248928387,269245063
20140929,321468308,317700681
20140930,320400620,347052898
