report_date,purchase,redeem
20140901,258662195,323855265
20140902,245999215,335868127
20140903,220268538,339552981
20140904,230958459,332977788
20140905,232164603,261806696
20140906,228699531,208498006
20140907,228864353,256751423
20140908,228812537,321845352
20140909,228048907,337402221
20140910,227572718,347804185
20140911,227153319,335491607
20140912,226652561,261345238
20140913,226167020,214908682
20140914,225693931,261847692
20140915,225213343,320056223
20140916,224732596,339922191
20140917,224253525,355351428
20140918,223773921,337390152
20140919,223294135,261858192
20140920,222814526,221440287
20140921,222334897,265957801
20140922,221855236,318641466
20140923,221375590,343207691
20140924,220895946,362154734
20140925,220416298,338905058
20140926,219936651,263270612
20140927,219457004,227906418
20140928,218977357,269245063
20140929,218497711,317700681
20140930,218018064,347052898
