report_date,purchase,redeem
20140901,325741075,323855265
20140902,338750176,335868127
20140903,296061494,339552981
20140904,275639600,332977788
20140905,238018062,261806696
20140906,182822726,208498006
20140907,218039180,256751423
20140908,316332977,321845352
20140909,337793470,337402221
20140910,296176491,347804185
20140911,275305555,335491607
20140912,238090173,261345238
20140913,184044521,214908682
20140914,219551766,261847692
20140915,317425723,320056223
20140916,338673245,339922191
20140917,296573201,355351428
20140918,274986325,337390152
20140919,238131039,261858192
20140920,185222583,221440287
20140921,221017653,265957801
20140922,318466056,318641466
20140923,339491926,343207691
20140924,296913015,362154734
20140925,274624011,338905058
20140926,238133279,263270612
20140927,186358527,227906418
20140928,222439941,269245063
20140929,319457371,317700681
20140930,340253074,347052898
