,0
workday,-35780008.30170884
weekend,35780008.30170882
1st,82368680.28557523
early,37618205.00286777
late,-34416112.73872683
mon_or_fri_work,-32288429.00441887
day_after_holiday,16067501.485697567
holiday,-143794360.62445748
holiday_2,-45109547.92547407
day_after_holiday_2,43338165.19392302
day_before_holiday_3,-22156241.523901835
holiday_3,-98684812.69898324
day_after_holiday_2,43338165.1939229
holiday_1st_or_3rd,-3962455.7880676957
day_before_or_after_holiday_normal_work,-40581807.209360294
day_before_holiday_2,11729296.502327
day_before_holiday_7,0.0
sunday_work,-141658010.91504845
