,0
workday,-7324326.552926802
weekend,7324326.552926764
1st,28749524.139549427
early,-17257536.876448084
middle,-905516.0490965652
late,18163052.925544668
mon_or_fri_work,-25625983.177665662
day_after_holiday,31963171.37426651
holiday,-87776964.66615462
holiday_2,-23490443.494616676
day_after_holiday_2,28417317.033755723
day_before_holiday_3,-23133033.06980879
holiday_3,-64286521.17153788
day_after_holiday_2,28417317.03375573
holiday_1st_or_3rd,-22432186.299093824
day_before_holiday_2,-11343016.015469722
sunday_work,77501306.52264273
