report_date,weekday,workday,weekend,1st,early,middle,late,mon_or_fri_work,day_after_holiday,holiday,holiday_2,day_after_holiday_2,day_before_holiday_3,holiday_3,day_after_holiday_3,holiday_1st_or_3rd,day_before_or_after_holiday_normal_work,day_before_holiday_2,day_before_holiday_7,sunday_work,total_purchase_amt,total_redeem_amt,workday1,workday2,workday3,workday4,workday5,poor_purchase_amt,rich_purchase_amt,poor_redeem_amt,rich_redeem_amt
3/1/2014,6,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,362865580,211279011,,,,,,113858947,249006633,95970934,115308077
3/2/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,276202230,246199417,,,,,,130168523,146033707,96464582,149734835
3/3/2014,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,505305862,513017360,1,,,,,159594166,345711696,111043430,401973930
3/4/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524146340,250562978,,1,,,,190363434,333782906,108510130,142052848
3/5/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454295491,209072753,,,1,,,193981156,260314335,96616372,112456381
3/6/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561787770,243149884,,,,1,,176171094,385616676,76817717,166332167
3/7/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,380139779,291087220,,,,,1,143759412,236380367,102567457,188519763
3/8/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,243274169,140323202,,,,,,133984321,109289848,70721327,69601875
3/9/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,244752519,206312503,,,,,,117963417,126789102,81636854,124675649
3/10/2014,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,497338076,308040624,1,,,,,191729494,305608582,138662363,169378261
3/11/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430500816,496039886,,1,,,,164697018,265803798,86055343,409984543
3/12/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377007897,416491268,,,1,,,159624019,217383878,92490643,324000625
3/13/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346286910,316973542,,,,1,,160019141,186267769,71872499,245101043
3/14/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,315897431,311575572,,,,,1,143347139,172550292,123194368,188381204
3/15/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,287407002,242799048,,,,,,105653529,181753473,73395516,169403532
3/16/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,269387391,390584547,,,,,,122329343,147058048,60771038,329813509
3/17/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,339008082,440624592,1,,,,,160042810,178965272,147915280,292709312
3/18/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435479117,410240726,,1,,,,123480958,311998159,108846766,301393960
