report_date,weekday,workday,weekend,1st,early,middle,late,mon_or_fri_work,day_after_holiday,holiday,holiday_2,day_after_holiday_2,day_before_holiday_3,holiday_3,day_after_holiday_3,holiday_1st_or_3rd,day_before_or_after_holiday_normal_work,day_before_holiday_2,day_before_holiday_7,sunday_work,total_purchase_amt,total_redeem_amt,workday1,workday2,workday3,workday4,workday5,purchase_pre3,redeem_pre3
6/25/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,264663201,547295931,,,1,,,291965256.7,337784584.9
6/17/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270350693,502560223,,1,,,,329984833.4,317321154.2
6/16/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,387308484,492349489,1,,,,,343954286.4,354970769.3
8/27/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,302194801,468164147,,,1,,,291965256.7,337784584.9
6/30/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,334054112,456547794,1,,,,,314015019.8,377515072.6
7/21/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,378088594,434191479,1,,,,,314015019.8,377515072.6
6/24/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,245450766,428471509,,1,,,,300045566.8,339865457.5
6/18/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335262709,421920230,,,1,,,321904523.3,315240281.6
6/26/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,297628039,418742109,,,,1,,289261953.8,305889455
8/11/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,331550471,418603336,1,,,,,343954286.4,354970769.3
4/14/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,309853269,415986984,1,,,,,343954286.4,354970769.3
5/28/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,276134813,415891684,,,1,,,291965256.7,337784584.9
5/4/2014,7,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,303087562,413222034,,,,,,303087562,413222034
