report_date,total_purchase_amt,total_redeem_amt,tBalance,yBalance
2013-07-01,32488348,5525022,252327861,225364535
2013-07-02,29037390,2554548,278810703,252327861
2013-07-03,27270770,5953867,300127606,278810703
2013-07-04,18321185,6410729,312038062,300127606
2013-07-05,11648749,2763587,320923224,312038062
2013-07-06,36751272,1616635,356057861,320923224
2013-07-07,8962232,3982735,361037358,356057861
2013-07-08,57258266,8347729,409947895,361037358
2013-07-09,26798941,3473059,433273777,409947895
2013-07-10,30696506,2597169,461373114,433273777
2013-07-11,44075197,3508800,501939511,461373114
2013-07-12,34183904,8492573,527630842,501939511
2013-07-13,15164717,3482829,539312730,527630842
2013-07-14,22615303,2784107,559143926,539312730
2013-07-15,48128555,13107943,594164538,559143926
2013-07-16,50622847,11864981,632922404,594164538
2013-07-17,29015682,10911513,651026573,632922404
2013-07-18,24234505,11765356,663495722,651026573
2013-07-19,33680124,9244769,687931077,663495722
2013-07-20,20439079,4601143,703769013,687931077
2013-07-21,21142394,2681331,722230076,703769013
2013-07-22,40448896,19144267,743534705,722230076
2013-07-23,58136147,24404051,777266801,743534705
2013-07-24,48422518,36258592,789430727,777266801
2013-07-25,57433418,38212836,808651309,789430727
2013-07-26,44721817,39192369,814180757,808651309
2013-07-27,17194451,15058893,816316315,814180757
2013-07-28,36255382,7683211,844888486,816316315
2013-07-29,53512076,18599364,879801198,844888486
2013-07-30,47481243,13048582,914233859,879801198
2013-07-31,54569637,9534040,959269456,914233859
2013-08-01,53369962,18864468,993774950,959269456
2013-08-02,38064536,40150769,991688717,993774950
2013-08-03,21595789,20701797,992582709,991688717
2013-08-04,45745254,8263965,1030063998,992582709
2013-08-05,43632203,15797507,1057898694,1030063998
2013-08-06,50866184,16401387,1092363491,1057898694
2013-08-07,43908081,29708706,1106562866,1092363491
2013-08-08,44493490,29551691,1121504665,1106562866
2013-08-09,33425186,30131015,1124798836,1121504665
2013-08-10,20615307,26614408,1118799735,1124798836
2013-08-11,55519543,15372680,1158946598,1118799735
2013-08-12,94520502,28586669,1224880431,1158946598
2013-08-13,48720919,28790328,1244810922,1224880431
2013-08-14,30541167,15031683,1260320406,1244810922
2013-08-15,42421222,52659327,1250082301,1260320406
2013-08-16,41683536,33739844,1258025993,1250082301
2013-08-17,17670519,4674983,1271021529,1258025993
2013-08-18,59703092,15218300,1315506321,1271021529
2013-08-19,109184209,28339260,1396351270,1315506321
2013-08-20,53675509,30131225,1419895554,1396351270
2013-08-21,38184446,29983342,1428096658,1419895554
2013-08-22,89130737,25000672,1492226723,1428096658
2013-08-23,37878575,25680323,1504424975,1492226723
2013-08-24,44367268,14316598,1534475645,1504424975
2013-08-25,43306288,18117808,1559664125,1534475645
2013-08-26,74496541,20637986,1613522680,1559664125
2013-08-27,45268028,60137633,1598653075,1613522680
2013-08-28,46602319,33696861,1611558533,1598653075
2013-08-29,47518666,35944968,1623132231,1611558533
2013-08-30,56488844,20630752,1658990323,1623132231
2013-08-31,47655303,22012016,1684633610,1658990323
2013-09-01,56239802,59339949,1681533463,1684633610
2013-09-02,140844739,17785524,1804592678,1681533463
2013-09-03,80507880,39328144,1845772414,1804592678
2013-09-04,33366708,27452600,1851686522,1845772414
2013-09-05,38716505,21800904,1868602123,1851686522
2013-09-06,38923186,33417903,1874107406,1868602123
2013-09-07,34076183,20344424,1887839165,1874107406
2013-09-08,38796909,14919122,1911716952,1887839165
2013-09-09,49312473,45621186,1915408239,1911716952
2013-09-10,94684143,37128363,1972964019,1915408239
2013-09-11,98944459,71674082,2000234396,1972964019
2013-09-12,68573684,45147220,2023660860,2000234396
2013-09-13,71655946,60512675,2034804131,2023660860
2013-09-14,30975443,36312660,2029466914,2034804131
2013-09-15,37059683,25020715,2041505882,2029466914
2013-09-16,161656210,45184589,2157977503,2041505882
2013-09-17,76204815,58260798,2175921520,2157977503
2013-09-18,42926608,47203221,2171644907,2175921520
2013-09-19,24778048,11418512,2185004443,2171644907
2013-09-20,28365762,15188254,2198181951,2185004443
2013-09-21,32406340,26596179,2203992112,2198181951
2013-09-22,67514169,47962055,2223544226,2203992112
2013-09-23,54658160,58285879,2219916507,2223544226
2013-09-24,74250859,56680792,2237486574,2219916507
2013-09-25,47274168,74838162,2209922580,2237486574
2013-09-26,68718693,48467529,2230173744,2209922580
2013-09-27,42166121,27639603,2244700262,2230173744
2013-09-28,39995798,58105720,2226590340,2244700262
2013-09-29,34433848,40295202,2220728986,2226590340
2013-09-30,28398050,30181353,2218945683,2220728986
2013-10-01,19137499,12813267,2225269915,2218945683
2013-10-02,11562708,7233874,2229598749,2225269915
2013-10-03,10101194,6223263,2233476680,2229598749
2013-10-04,19907689,23412350,2229972019,2233476680
2013-10-05,26364686,13966453,2242370252,2229972019
2013-10-06,38730653,13464528,2267636377,2242370252
2013-10-07,42797733,28894400,2281539710,2267636377
2013-10-08,109806912,77856096,2313490526,2281539710
2013-10-09,72422299,33999376,2351913449,2313490526
2013-10-10,72094613,52244531,2371763531,2351913449
2013-10-11,82674757,27666473,2426771815,2371763531
2013-10-12,81901136,31322983,2477349968,2426771815
2013-10-13,71149981,31850475,2516649474,2477349968
2013-10-14,130315300,40652625,2606312149,2516649474
2013-10-15,85704304,35099198,2656917255,2606312149
2013-10-16,100948091,51261982,2706603364,2656917255
2013-10-17,87203217,23274764,2770531817,2706603364
2013-10-18,98151450,15938355,2852744912,2770531817
2013-10-19,53148443,26684697,2879208658,2852744912
2013-10-20,47766681,50884342,2876090997,2879208658
2013-10-21,106030290,45781403,2936339884,2876090997
2013-10-22,145611496,96172537,2985778843,2936339884
2013-10-23,106093112,73788462,3018083493,2985778843
2013-10-24,69530830,58183921,3029430402,3018083493
2013-10-25,69936453,52225802,3047141053,3029430402
2013-10-26,55752506,49357211,3053536348,3047141053
2013-10-27,68007543,46520570,3075023321,3053536348
2013-10-28,129993375,55089464,3149927232,3075023321
2013-10-29,102050144,43052468,3208924908,3149927232
2013-10-30,109663260,63908701,3254679467,3208924908
2013-10-31,90926701,55607833,3289998335,3254679467
2013-11-01,150904945,66933119,3373970161,3289998335
2013-11-02,62132300,26705506,3409396955,3373970161
2013-11-03,68707870,30895754,3447209071,3409396955
2013-11-04,300027403,130970051,3616266423,3447209071
2013-11-05,180904814,82689864,3714481373,3616266423
2013-11-06,181474910,131707820,3764248463,3714481373
2013-11-07,167963464,83306452,3848905475,3764248463
2013-11-08,231749471,92856307,3987798639,3848905475
2013-11-09,126467028,45885771,4068379896,3987798639
2013-11-10,164813471,85293644,4147899723,4068379896
2013-11-11,147986439,227124951,4068761211,4147899723
2013-11-12,148469647,131263524,4085967334,4068761211
2013-11-13,174554976,79121440,4181400870,4085967334
2013-11-14,167996058,52554150,4296842778,4181400870
2013-11-15,124270704,58210254,4362903228,4296842778
2013-11-16,118085705,28996272,4451992661,4362903228
2013-11-17,111786622,42358155,4521421128,4451992661
2013-11-18,195766477,136916782,4580270823,4521421128
2013-11-19,131365419,70308235,4641328007,4580270823
2013-11-20,166163002,86951218,4720539791,4641328007
2013-11-21,221166938,74733962,4866972767,4720539791
2013-11-22,128528687,82717921,4912783533,4866972767
2013-11-23,89109018,48882131,4953010420,4912783533
2013-11-24,102394991,85555947,4969849464,4953010420
2013-11-25,147143602,70113127,5046879939,4969849464
2013-11-26,258037702,65802983,5239114658,5046879939
2013-11-27,134774128,86129498,5287759288,5239114658
2013-11-28,139760425,61453591,5366066122,5287759288
2013-11-29,122536344,123982166,5364620300,5366066122
2013-11-30,116865492,119660311,5361825481,5364620300
2013-12-01,137889992,94632233,5405083240,5361825481
2013-12-02,345313258,128465086,5621931412,5405083240
2013-12-03,268666856,101662045,5788936223,5621931412
2013-12-04,219456372,69981329,5938411266,5788936223
2013-12-05,190825287,118256819,6010979734,5938411266
2013-12-06,152197159,82625571,6080551322,6010979734
2013-12-07,138882605,71916047,6147517880,6080551322
2013-12-08,124886903,76314292,6196090491,6147517880
2013-12-09,174652812,133355299,6237388004,6196090491
2013-12-10,179471612,147147341,6269712275,6237388004
2013-12-11,239916977,110314592,6399314660,6269712275
2013-12-12,140360007,92090275,6447584392,6399314660
2013-12-13,164672690,90778214,6521478868,6447584392
2013-12-14,129045596,52234651,6598289813,6521478868
2013-12-15,205882387,54757146,6749415054,6598289813
2013-12-16,196489931,156157326,6789747659,6749415054
2013-12-17,193980797,116537843,6867190613,6789747659
2013-12-18,180215804,202220872,6845185545,6867190613
2013-12-19,233631357,164023344,6914793558,6845185545
2013-12-20,133867400,153678963,6894981995,6914793558
2013-12-21,112000779,83151594,6923831180,6894981995
2013-12-22,154543217,83998249,6994376148,6923831180
2013-12-23,198747367,138478245,7054645270,6994376148
