report_date,workday1,workday2,workday3,workday4,workday5,weekend1,weekend2,dayoff1,dayoff2,dayoff3,dayoff_before_workday,dayoff_after_workday,workday_before_dayoff,workday,dayoff,early_month,med_month,end_mon,mon_1st,after_dayoff2,after_dayoff3,aft_dayoff7,before_dayoff2,before_dayoff3,2dayoff,3dayoff,Sunday_workday,total_purchase_amt,total_redeem_amt,redeem_high,purchase_high
20140301,,,,,,1,,1,,,,,,,1,1,,,1,,,,,,1,,,244715862,258058671,0,1
20140302,,,,,,,1,,1,,,,1,,1,1,,,,,,,,,1,,,362865580,211279011,0,1
20140303,1,,,,,,,,,,,1,,1,,1,,,,1,,,1,,,,,276202230,246199417,1,1
20140304,,1,,,,,,,,,,,,1,,1,,,,1,,,1,,,,,505305862,513017360,0,1
20140305,,,1,,,,,,,,,,,1,,1,,,,1,,,1,,,,,524146340,250562978,0,1
20140306,,,,1,,,,,,,,,,1,,1,,,,1,,,1,,,,,454295491,209072753,0,1
20140307,,,,,1,,,,,,1,,,1,,1,,,,1,,,1,,,,,561787770,243149884,1,1
20140308,,,,,,1,,1,,,,,,,1,1,,,,,,,,,1,,,380139779,291087220,0,0
20140309,,,,,,,1,,1,,,,1,,1,1,,,,,,,,,1,,,243274169,140323202,0,0
20140310,1,,,,,,,,,,,1,,1,,1,,,,1,,,1,,,,,244752519,206312503,1,1
20140311,,1,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,497338076,308040624,1,1
20140312,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,430500816,496039886,1,1
20140313,,,,1,,,,,,,,,,1,,,1,,,1,,,1,,,,,377007897,416491268,1,1
20140314,,,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,,,346286910,316973542,1,1
20140315,,,,,,1,,1,,,,,,,1,,1,,,,,,,,1,,,315897431,311575572,0,1
20140316,,,,,,,1,,1,,,,1,,1,,1,,,,,,,,1,,,287407002,242799048,1,0
20140317,1,,,,,,,,,,,1,,1,,,1,,,1,,,1,,,,,269387391,390584547,1,1
20140318,,1,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,339008082,440624592,1,1
20140319,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,435479117,410240726,1,1
20140320,,,,1,,,,,,,,,,1,,,1,,,1,,,1,,,,,359014064,429298917,1,1
20140321,,,,,1,,,,,,1,,,1,,,,1,,1,,,1,,,,,365011495,336076380,0,1
20140322,,,,,,1,,1,,,,,,,1,,,1,,,,,,,1,,,282351818,259655286,0,0
20140323,,,,,,,1,,1,,,,1,,1,,,1,,,,,,,1,,,191700135,138039412,0,0
20140324,1,,,,,,,,,,,1,,1,,,,1,,1,,,1,,,,,167456369,186443311,1,1
20140325,,1,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,313180334,437825259,1,1
20140326,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,,,,314345006,312710515,1,0
20140327,,,,1,,,,,,,,,,1,,,,1,,1,,,1,,,,,272935544,450254233,1,0
20140328,,,,,1,,,,,,1,,,1,,,,1,,1,,,1,,,,,266231082,359071642,1,0
20140329,,,,,,1,,1,,,,,,,1,,,1,,,,,,,1,,,225966355,405443946,0,0
20140330,,,,,,,1,,1,,,,1,,1,,,1,,,,,,,1,,,160250985,155006056,0,0
