report_date,weekday,workday,weekend,1st,early,middle,late,mon_or_fri_work,day_after_holiday,holiday,holiday_2,day_after_holiday_2,day_before_holiday_3,holiday_3,day_after_holiday_3,holiday_1st_or_3rd,day_before_or_after_holiday_normal_work,day_before_holiday_2,day_before_holiday_7,sunday_work,25th-5th,6th-16th
3/1/2014,6,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,
3/2/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
3/3/2014,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,,
3/4/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/5/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/6/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/7/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,
3/8/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,
3/9/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
3/10/2014,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,,
3/11/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/12/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/13/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/14/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,
3/15/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,
3/16/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
3/17/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,,
3/18/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/19/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/20/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/21/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,,
3/22/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,,
3/23/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,
3/24/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,,
3/25/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/26/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/27/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/28/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,,
3/29/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,,
3/30/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,
3/31/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,,
4/1/2014,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4/2/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4/3/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4/4/2014,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,,
4/5/2014,6,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,,
4/6/2014,7,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,
4/7/2014,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,,
4/8/2014,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,,
4/9/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4/10/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4/11/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,
4/12/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,
4/13/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
4/14/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,,
4/15/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4/16/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4/17/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4/18/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,
4/19/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,
4/20/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
4/21/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,,
4/22/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4/23/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4/24/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
