,0
workday,-7882368.515575087
weekend,7882368.515575122
1st,20090900.907252233
early,8966242.8519577
middle,4714582.397911716
late,-13680825.249869483
mon_or_fri_work,-6698377.450394828
day_after_holiday,6045528.41959307
holiday,-46298597.0366892
holiday_2,-10005930.551716596
day_after_holiday_2,36349559.90725234
day_before_holiday_3,3834190.656964478
holiday_3,-36292666.48497266
day_after_holiday_3,-2485273.0227215705
holiday_1st_or_3rd,-477630.2875429034
day_before_or_after_holiday_normal_work,-16268558.35881009
day_before_holiday_2,12301310.97851949
day_before_holiday_7,0.0
sunday_work,-13995043.329974122
workday2,12269774.059986131
workday3,6271921.188274199
