report_date,purchase
2014-09-01,186786296.32684523
2014-09-02,147267242.9019525
2014-09-03,147267242.9019525
2014-09-04,147267242.9019525
2014-09-05,140435808.72823155
2014-09-06,79963086.12389794
2014-09-07,80440716.41144083
2014-09-08,100547909.00000006
2014-09-09,134558939.9400139
2014-09-10,147267242.9019525
2014-09-11,143015582.4479065
2014-09-12,132349957.61722107
2014-09-13,101998161.60310802
2014-09-14,102475791.89065093
2014-09-15,162443734.965547
2014-09-16,143015582.4479065
2014-09-17,143015582.4479065
2014-09-18,143015582.4479065
2014-09-19,132349957.61722107
2014-09-20,101998161.60310802
2014-09-21,84080384.24286972
2014-09-22,144048327.3177658
2014-09-23,124620174.8001253
2014-09-24,124620174.8001253
2014-09-25,124620174.8001253
2014-09-26,113954549.9694399
2014-09-27,93608684.50704342
2014-09-28,132435396.92089446
2014-09-29,154271357.25698283
2014-09-30,128454365.45708978
