report_date,purchase
2014-03-01,126340722.96440624
2014-03-02,106727452.34469691
2014-03-03,166695395.41959298
2014-03-04,159537016.96193862
2014-03-05,153539164.09022668
2014-03-06,147267242.9019525
2014-03-07,136601618.07126707
2014-03-08,106249822.057154
2014-03-09,106727452.34469691
2014-03-10,166695395.41959298
2014-03-11,155285356.50789264
2014-03-12,149287503.6361807
2014-03-13,143015582.4479065
2014-03-14,132349957.61722107
2014-03-15,101998161.60310802
2014-03-16,102475791.89065093
2014-03-17,162443734.965547
2014-03-18,155285356.50789264
2014-03-19,149287503.6361807
2014-03-20,143015582.4479065
2014-03-21,113954549.9694399
2014-03-22,83602753.95532683
2014-03-23,84080384.24286972
2014-03-24,144048327.3177658
2014-03-25,136889948.86011145
2014-03-26,130892095.9883995
2014-03-27,124620174.8001253
2014-03-28,113954549.9694399
2014-03-29,83602753.95532683
2014-03-30,84080384.24286972
2014-03-31,144048327.3177658
2014-04-01,179627917.86919087
2014-04-02,153539164.09022668
2014-04-03,147267242.9019525
2014-04-04,140435808.72823155
2014-04-05,79963086.12389794
2014-04-06,80440716.41144083
2014-04-07,100547909.00000006
2014-04-08,146828714.00000003
2014-04-09,153539164.09022668
2014-04-10,147267242.9019525
2014-04-11,132349957.61722107
2014-04-12,101998161.60310802
2014-04-13,102475791.89065093
2014-04-14,162443734.965547
2014-04-15,155285356.50789264
2014-04-16,149287503.6361807
2014-04-17,143015582.4479065
2014-04-18,132349957.61722107
2014-04-19,101998161.60310802
2014-04-20,102475791.89065093
2014-04-21,144048327.3177658
2014-04-22,136889948.86011145
2014-04-23,130892095.9883995
2014-04-24,124620174.8001253
2014-04-25,113954549.9694399
2014-04-26,83602753.95532683
2014-04-27,84080384.24286972
2014-04-28,144048327.3177658
2014-04-29,136889948.86011145
2014-04-30,134726286.645364
2014-05-01,84289249.99999997
2014-05-02,60708732.000000015
2014-05-03,79963086.12389794
2014-05-04,152597192.00000006
2014-05-05,160649866.9999999
2014-05-06,159537016.96193862
2014-05-07,153539164.09022668
2014-05-08,147267242.9019525
2014-05-09,136601618.07126707
2014-05-10,106249822.057154
2014-05-11,102475791.89065093
2014-05-12,162443734.965547
2014-05-13,155285356.50789264
2014-05-14,149287503.6361807
2014-05-15,143015582.4479065
2014-05-16,132349957.61722107
2014-05-17,101998161.60310802
2014-05-18,102475791.89065093
2014-05-19,162443734.965547
2014-05-20,155285356.50789264
2014-05-21,130892095.9883995
2014-05-22,124620174.8001253
2014-05-23,113954549.9694399
2014-05-24,83602753.95532683
2014-05-25,84080384.24286972
2014-05-26,144048327.3177658
2014-05-27,136889948.86011145
2014-05-28,130892095.9883995
2014-05-29,124620174.8001253
2014-05-30,117788740.62640436
2014-05-31,57316018.022070736
2014-06-01,100531617.31869307
2014-06-02,100547909.00000006
2014-06-03,146828714.00000003
2014-06-04,153539164.09022668
2014-06-05,147267242.9019525
2014-06-06,136601618.07126707
2014-06-07,106249822.057154
2014-06-08,106727452.34469691
2014-06-09,166695395.41959298
2014-06-10,159537016.96193862
2014-06-11,149287503.6361807
2014-06-12,143015582.4479065
2014-06-13,132349957.61722107
2014-06-14,101998161.60310802
2014-06-15,102475791.89065093
2014-06-16,162443734.965547
2014-06-17,155285356.50789264
2014-06-18,149287503.6361807
2014-06-19,143015582.4479065
2014-06-20,132349957.61722107
2014-06-21,83602753.95532683
2014-06-22,84080384.24286972
2014-06-23,144048327.3177658
2014-06-24,136889948.86011145
2014-06-25,130892095.9883995
2014-06-26,124620174.8001253
2014-06-27,113954549.9694399
2014-06-28,83602753.95532683
2014-06-29,84080384.24286972
2014-06-30,144048327.3177658
2014-07-01,179627917.86919087
2014-07-02,153539164.09022668
2014-07-03,147267242.9019525
2014-07-04,136601618.07126707
2014-07-05,106249822.057154
2014-07-06,106727452.34469691
2014-07-07,166695395.41959298
2014-07-08,159537016.96193862
2014-07-09,153539164.09022668
2014-07-10,147267242.9019525
2014-07-11,132349957.61722107
2014-07-12,101998161.60310802
2014-07-13,102475791.89065093
2014-07-14,162443734.965547
2014-07-15,155285356.50789264
2014-07-16,149287503.6361807
2014-07-17,143015582.4479065
2014-07-18,132349957.61722107
2014-07-19,101998161.60310802
2014-07-20,102475791.89065093
2014-07-21,144048327.3177658
2014-07-22,136889948.86011145
2014-07-23,130892095.9883995
2014-07-24,124620174.8001253
2014-07-25,113954549.9694399
2014-07-26,83602753.95532683
2014-07-27,84080384.24286972
2014-07-28,144048327.3177658
2014-07-29,136889948.86011145
2014-07-30,130892095.9883995
2014-07-31,124620174.8001253
2014-08-01,156692518.9785193
2014-08-02,106249822.057154
2014-08-03,106727452.34469691
2014-08-04,166695395.41959298
2014-08-05,159537016.96193862
2014-08-06,153539164.09022668
2014-08-07,147267242.9019525
2014-08-08,136601618.07126707
2014-08-09,106249822.057154
2014-08-10,106727452.34469691
2014-08-11,162443734.965547
2014-08-12,155285356.50789264
2014-08-13,149287503.6361807
2014-08-14,143015582.4479065
2014-08-15,132349957.61722107
2014-08-16,101998161.60310802
2014-08-17,102475791.89065093
2014-08-18,162443734.965547
2014-08-19,155285356.50789264
2014-08-20,149287503.6361807
2014-08-21,124620174.8001253
2014-08-22,113954549.9694399
2014-08-23,83602753.95532683
2014-08-24,84080384.24286972
2014-08-25,144048327.3177658
2014-08-26,136889948.86011145
2014-08-27,130892095.9883995
2014-08-28,124620174.8001253
2014-08-29,113954549.9694399
2014-08-30,83602753.95532683
2014-08-31,84080384.24286972
2014-09-01,186786296.32684523
2014-09-02,147267242.9019525
2014-09-03,147267242.9019525
2014-09-04,147267242.9019525
2014-09-05,140435808.72823155
2014-09-06,79963086.12389794
2014-09-07,80440716.41144083
2014-09-08,100547909.00000006
2014-09-09,134558939.9400139
2014-09-10,147267242.9019525
2014-09-11,143015582.4479065
2014-09-12,132349957.61722107
2014-09-13,101998161.60310802
2014-09-14,102475791.89065093
2014-09-15,162443734.965547
2014-09-16,143015582.4479065
2014-09-17,143015582.4479065
2014-09-18,143015582.4479065
2014-09-19,132349957.61722107
2014-09-20,101998161.60310802
2014-09-21,84080384.24286972
2014-09-22,144048327.3177658
2014-09-23,124620174.8001253
2014-09-24,124620174.8001253
2014-09-25,124620174.8001253
2014-09-26,113954549.9694399
2014-09-27,93608684.50704342
2014-09-28,132435396.92089446
2014-09-29,154271357.25698283
2014-09-30,128454365.45708978
