,0
workday,-16213261.481459955
weekend,16213261.48145994
1st,14862209.847504806
early,150827.5568700524
middle,-5152326.093369002
late,5001498.536498823
mon_or_fri_work,-18269765.328024764
day_after_holiday,-3896519.0258424003
holiday_2,-49712348.83160645
day_after_holiday_2,30402372.847504806
day_before_holiday_3,-2761226.6184404604
holiday_3,-60971193.225019455
day_after_holiday_3,-10428160.500938682
holiday_1st_or_3rd,-3297539.797895524
day_before_or_after_holiday_normal_work,10152573.305109823
day_before_holiday_2,9096539.744499536
day_before_holiday_7,0.0
sunday_work,-12421448.61154895
workday2,6861982.046261155
workday3,2983081.926664186
