report_date,redeem
2014-09-01,137116533.82166243
2014-09-02,103865662.17541015
2014-09-03,103865662.17541015
2014-09-04,103865662.17541015
2014-09-05,102083783.27855429
2014-09-06,72023452.11541507
2014-09-07,75320991.91331059
2014-09-08,69999301.99999999
2014-09-09,99693555.9537389
2014-09-10,103865662.17541015
2014-09-11,98562508.5251711
2014-09-12,99541856.24675569
2014-09-13,77979142.85858902
2014-09-14,81276682.65648454
2014-09-15,116951170.32391857
2014-09-16,98562508.5251711
2014-09-17,98562508.5251711
2014-09-18,98562508.5251711
2014-09-19,99541856.24675569
2014-09-20,77979142.85858902
2014-09-21,91430507.28635237
2014-09-22,127104994.95378639
2014-09-23,108716333.15503892
2014-09-24,108716333.15503892
2014-09-25,108716333.15503892
2014-09-26,109695680.87662353
2014-09-27,137845316.3200633
2014-09-28,124824888.48056747
2014-09-29,120848940.67451897
2014-09-30,105955106.53659846
