report_date,redeem
2014-03-01,98144506.35633288
2014-03-02,86579836.3067236
2014-03-03,122254323.97415762
2014-03-04,110727644.22167131
2014-03-05,106848744.10207434
2014-03-06,103865662.17541015
2014-03-07,104845009.89699475
2014-03-08,83282296.50882807
2014-03-09,86579836.3067236
2014-03-10,122254323.97415762
2014-03-11,105424490.57143225
2014-03-12,101545590.45183527
2014-03-13,98562508.5251711
2014-03-14,99541856.24675569
2014-03-15,77979142.85858902
2014-03-16,81276682.65648454
2014-03-17,116951170.32391857
2014-03-18,105424490.57143225
2014-03-19,101545590.45183527
2014-03-20,98562508.5251711
2014-03-21,109695680.87662353
2014-03-22,88132967.48845685
2014-03-23,91430507.28635237
2014-03-24,127104994.95378639
2014-03-25,115578315.20130008
2014-03-26,111699415.08170311
2014-03-27,108716333.15503892
2014-03-28,109695680.87662353
2014-03-29,88132967.48845685
2014-03-30,91430507.28635237
2014-03-31,127104994.95378639
2014-04-01,125589854.06917611
2014-04-02,106848744.10207434
2014-04-03,103865662.17541015
2014-04-04,102083783.27855429
2014-04-05,72023452.11541507
2014-04-06,75320991.91331059
2014-04-07,69999301.99999999
2014-04-08,106555538.00000004
2014-04-09,106848744.10207434
2014-04-10,103865662.17541015
2014-04-11,99541856.24675569
2014-04-12,77979142.85858902
2014-04-13,81276682.65648454
2014-04-14,116951170.32391857
2014-04-15,105424490.57143225
2014-04-16,101545590.45183527
2014-04-17,98562508.5251711
2014-04-18,99541856.24675569
2014-04-19,77979142.85858902
2014-04-20,81276682.65648454
2014-04-21,127104994.95378639
2014-04-22,115578315.20130008
2014-04-23,111699415.08170311
2014-04-24,108716333.15503892
2014-04-25,109695680.87662353
2014-04-26,88132967.48845685
2014-04-27,91430507.28635237
2014-04-28,127104994.95378639
2014-04-29,115578315.20130008
2014-04-30,108938188.46326265
2014-05-01,54459138.99999998
2014-05-02,62143582.00000005
2014-05-03,72023452.11541507
2014-05-04,109546057.00000001
2014-05-05,126150843.00000001
2014-05-06,110727644.22167131
2014-05-07,106848744.10207434
2014-05-08,103865662.17541015
2014-05-09,104845009.89699475
2014-05-10,83282296.50882807
2014-05-11,81276682.65648454
2014-05-12,116951170.32391857
2014-05-13,105424490.57143225
2014-05-14,101545590.45183527
2014-05-15,98562508.5251711
2014-05-16,99541856.24675569
2014-05-17,77979142.85858902
2014-05-18,81276682.65648454
2014-05-19,116951170.32391857
2014-05-20,105424490.57143225
2014-05-21,111699415.08170311
2014-05-22,108716333.15503892
2014-05-23,109695680.87662353
2014-05-24,88132967.48845685
2014-05-25,91430507.28635237
2014-05-26,127104994.95378639
2014-05-27,115578315.20130008
2014-05-28,111699415.08170311
2014-05-29,108716333.15503892
2014-05-30,106934454.25818306
2014-05-31,76874123.09504384
2014-06-01,90183201.7608154
2014-06-02,69999301.99999999
2014-06-03,106555538.00000004
2014-06-04,106848744.10207434
2014-06-05,103865662.17541015
2014-06-06,104845009.89699475
2014-06-07,83282296.50882807
2014-06-08,86579836.3067236
2014-06-09,122254323.97415762
2014-06-10,110727644.22167131
2014-06-11,101545590.45183527
2014-06-12,98562508.5251711
2014-06-13,99541856.24675569
2014-06-14,77979142.85858902
2014-06-15,81276682.65648454
2014-06-16,116951170.32391857
2014-06-17,105424490.57143225
2014-06-18,101545590.45183527
2014-06-19,98562508.5251711
2014-06-20,99541856.24675569
2014-06-21,88132967.48845685
2014-06-22,91430507.28635237
2014-06-23,127104994.95378639
2014-06-24,115578315.20130008
2014-06-25,111699415.08170311
2014-06-26,108716333.15503892
2014-06-27,109695680.87662353
2014-06-28,88132967.48845685
2014-06-29,91430507.28635237
2014-06-30,127104994.95378639
2014-07-01,125589854.06917611
2014-07-02,106848744.10207434
2014-07-03,103865662.17541015
2014-07-04,104845009.89699475
2014-07-05,83282296.50882807
2014-07-06,86579836.3067236
2014-07-07,122254323.97415762
2014-07-08,110727644.22167131
2014-07-09,106848744.10207434
2014-07-10,103865662.17541015
2014-07-11,99541856.24675569
2014-07-12,77979142.85858902
2014-07-13,81276682.65648454
2014-07-14,116951170.32391857
2014-07-15,105424490.57143225
2014-07-16,101545590.45183527
2014-07-17,98562508.5251711
2014-07-18,99541856.24675569
2014-07-19,77979142.85858902
2014-07-20,81276682.65648454
2014-07-21,127104994.95378639
2014-07-22,115578315.20130008
2014-07-23,111699415.08170311
2014-07-24,108716333.15503892
2014-07-25,109695680.87662353
2014-07-26,88132967.48845685
2014-07-27,91430507.28635237
2014-07-28,127104994.95378639
2014-07-29,115578315.20130008
2014-07-30,111699415.08170311
2014-07-31,108716333.15503892
2014-08-01,119707219.74449955
2014-08-02,83282296.50882807
2014-08-03,86579836.3067236
2014-08-04,122254323.97415762
2014-08-05,110727644.22167131
2014-08-06,106848744.10207434
2014-08-07,103865662.17541015
2014-08-08,104845009.89699475
2014-08-09,83282296.50882807
2014-08-10,86579836.3067236
2014-08-11,116951170.32391857
2014-08-12,105424490.57143225
2014-08-13,101545590.45183527
2014-08-14,98562508.5251711
2014-08-15,99541856.24675569
2014-08-16,77979142.85858902
2014-08-17,81276682.65648454
2014-08-18,116951170.32391857
2014-08-19,105424490.57143225
2014-08-20,101545590.45183527
2014-08-21,108716333.15503892
2014-08-22,109695680.87662353
2014-08-23,88132967.48845685
2014-08-24,91430507.28635237
2014-08-25,127104994.95378639
2014-08-26,115578315.20130008
2014-08-27,111699415.08170311
2014-08-28,108716333.15503892
2014-08-29,109695680.87662353
2014-08-30,88132967.48845685
2014-08-31,91430507.28635237
2014-09-01,137116533.82166243
2014-09-02,103865662.17541015
2014-09-03,103865662.17541015
2014-09-04,103865662.17541015
2014-09-05,102083783.27855429
2014-09-06,72023452.11541507
2014-09-07,75320991.91331059
2014-09-08,69999301.99999999
2014-09-09,99693555.9537389
2014-09-10,103865662.17541015
2014-09-11,98562508.5251711
2014-09-12,99541856.24675569
2014-09-13,77979142.85858902
2014-09-14,81276682.65648454
2014-09-15,116951170.32391857
2014-09-16,98562508.5251711
2014-09-17,98562508.5251711
2014-09-18,98562508.5251711
2014-09-19,99541856.24675569
2014-09-20,77979142.85858902
2014-09-21,91430507.28635237
2014-09-22,127104994.95378639
2014-09-23,108716333.15503892
2014-09-24,108716333.15503892
2014-09-25,108716333.15503892
2014-09-26,109695680.87662353
2014-09-27,137845316.3200633
2014-09-28,124824888.48056747
2014-09-29,120848940.67451897
2014-09-30,105955106.53659846
