,0
workday,-15078105.444837127
weekend,15078105.444837164
1st,47917018.07119073
early,24208849.38289651
middle,-6332495.2261885265
late,-17876354.156707972
mon_or_fri_work,-63874841.42039813
day_after_holiday,1777614.0551620724
holiday,-88701690.41075906
holiday_2,-25615308.84916119
day_after_holiday_2,16191065.571190968
day_before_holiday_3,-26161793.765982512
holiday_3,-63086381.561597995
day_after_holiday_3,-92249419.3425467
holiday_1st_or_3rd,5899927.312001404
day_before_or_after_holiday_normal_work,51231075.260042146
day_before_holiday_2,-41542459.87684966
day_before_holiday_7,0.0
sunday_work,4078981.8085456793
workday2,-1486161.0618223327
workday3,-3568618.3159268247
