report_date,purchase
2014-09-01,259968914.1263526
2014-09-02,206726982.58916482
2014-09-03,206726982.58916482
2014-09-04,206726982.58916482
2014-09-05,126378962.78597665
2014-09-06,90995048.81848346
2014-09-07,85095121.50648205
2014-09-08,77029903.50000015
2014-09-09,167486252.56182235
2014-09-10,206726982.58916482
2014-09-11,176185637.98007977
2014-09-12,121999411.94287413
2014-09-13,97924776.92183523
2014-09-14,92024849.60983382
2014-09-15,181510551.44607684
2014-09-16,176185637.98007977
2014-09-17,176185637.98007977
2014-09-18,176185637.98007977
2014-09-19,121999411.94287413
2014-09-20,97924776.92183523
2014-09-21,80480990.67931437
2014-09-22,169966692.5155574
2014-09-23,164641779.04956034
2014-09-24,164641779.04956034
2014-09-25,164641779.04956034
2014-09-26,110455553.0123547
2014-09-27,111996226.84047697
2014-09-28,200654585.80294237
2014-09-29,116958003.20035318
2014-09-30,138479985.28357783
