,0
workday,9985278.312118635
weekend,-9985278.31211863
1st,-1922716.679531361
early,-15502504.057358392
middle,1556012.6909448125
late,13946491.366413599
mon_or_fri_work,31963772.459000237
day_after_holiday,37781144.2511242
holiday_2,-47181047.40537373
day_after_holiday_2,12862398.820468863
day_before_holiday_3,-29244850.907188956
holiday_3,-63495121.77880907
day_after_holiday_3,8014387.13324018
holiday_1st_or_3rd,-13402671.989644822
day_before_or_after_holiday_normal_work,-29370359.72745412
day_before_holiday_2,-15780162.94172183
day_before_holiday_7,-7.450580596923828e-09
sunday_work,110126875.79188773
workday2,27114020.395104833
workday3,28912047.950419236
