report_date,redeem
2014-09-01,219038365.57159287
2014-09-02,167724126.44798505
2014-09-03,167724126.44798505
2014-09-04,167724126.44798505
2014-09-05,125292525.3306204
2014-09-06,70855776.0552939
2014-09-07,84258448.04493873
2014-09-08,103688731.50000003
2014-09-09,184149298.10489532
2014-09-10,167724126.44798505
2014-09-11,184782643.19628826
2014-09-12,171595892.98611256
2014-09-13,104228367.17703244
2014-09-14,117631039.16667727
2014-09-15,238019598.99942744
2014-09-16,184782643.19628826
2014-09-17,184782643.19628826
2014-09-18,184782643.19628826
2014-09-19,171595892.98611256
2014-09-20,104228367.17703244
2014-09-21,130021517.84214605
2014-09-22,250410077.67489624
2014-09-23,197173121.87175706
2014-09-24,197173121.87175706
2014-09-25,197173121.87175706
2014-09-26,183986371.66158134
2014-09-27,163799893.25787497
2014-09-28,325110585.29053175
2014-09-29,241999293.15122616
2014-09-30,167928270.96456808
