report_date,redeem
2014-03-01,85247133.74919787
2014-03-02,100572522.41837406
2014-03-03,220961082.25112423
2014-03-04,194838146.84308988
2014-03-05,196636174.3984043
2014-03-06,167724126.44798505
2014-03-07,154537376.23780936
2014-03-08,87169850.42872924
2014-03-09,100572522.41837406
2014-03-10,220961082.25112423
2014-03-11,211896663.5913931
2014-03-12,213694691.1467075
2014-03-13,184782643.19628826
2014-03-14,171595892.98611256
2014-03-15,104228367.17703244
2014-03-16,117631039.16667727
2014-03-17,238019598.99942744
2014-03-18,211896663.5913931
2014-03-19,213694691.1467075
2014-03-20,184782643.19628826
2014-03-21,183986371.66158134
2014-03-22,116618845.85250123
2014-03-23,130021517.84214605
2014-03-24,250410077.67489624
2014-03-25,224287142.2668619
2014-03-26,226085169.82217628
2014-03-27,197173121.87175706
2014-03-28,183986371.66158134
2014-03-29,116618845.85250123
2014-03-30,130021517.84214605
2014-03-31,250410077.67489624
2014-04-01,192915430.16355854
2014-04-02,196636174.3984043
2014-04-03,167724126.44798505
2014-04-04,125292525.3306204
2014-04-05,70855776.0552939
2014-04-06,84258448.04493873
2014-04-07,103688731.50000003
2014-04-08,211263318.50000015
2014-04-09,196636174.3984043
2014-04-10,167724126.44798505
2014-04-11,171595892.98611256
2014-04-12,104228367.17703244
2014-04-13,117631039.16667727
2014-04-14,238019598.99942744
2014-04-15,211896663.5913931
2014-04-16,213694691.1467075
2014-04-17,184782643.19628826
2014-04-18,171595892.98611256
2014-04-19,104228367.17703244
2014-04-20,117631039.16667727
2014-04-21,250410077.67489624
2014-04-22,224287142.2668619
2014-04-23,226085169.82217628
2014-04-24,197173121.87175706
2014-04-25,183986371.66158134
2014-04-26,116618845.85250123
2014-04-27,130021517.84214605
2014-04-28,250410077.67489624
2014-04-29,224287142.2668619
2014-04-30,196840318.91498733
2014-05-01,88903615.9999998
2014-05-02,59078482.00000003
2014-05-03,70855776.0552939
2014-05-04,303675976.9999999
2014-05-05,183179938.00000006
2014-05-06,194838146.84308988
2014-05-07,196636174.3984043
2014-05-08,167724126.44798505
2014-05-09,154537376.23780936
2014-05-10,87169850.42872924
