,0
workday,-24438423.06412471
weekend,24438423.06412479
1st,76650729.18354847
early,21409677.943438865
middle,281450.6423665503
late,-21691128.585805405
mon_or_fri_work,-79424083.3469731
day_after_holiday,-25118163.92547437
holiday,-130568729.04764782
holiday_2,-41609693.982823044
day_after_holiday_2,61183435.68354817
day_before_holiday_3,-14164387.072871987
holiday_3,-88959035.0648246
day_after_holiday_3,-54213803.12018801
holiday_1st_or_3rd,6342154.6889056675
day_before_or_after_holiday_normal_work,59584810.42340644
day_before_holiday_2,-44300774.55095259
day_before_holiday_7,0.0
sunday_work,3962696.6773942565
workday2,2995975.8822374684
workday3,6769835.506087585
