,0
workday,-6227983.169341399
weekend,6227983.169341373
1st,12939493.167973349
early,-15351676.500488266
middle,-3596313.4024242014
late,18947989.90291233
mon_or_fri_work,13694007.130975414
day_after_holiday,33884625.22528196
holiday_2,-96893396.2369804
day_after_holiday_2,43264771.66797364
day_before_holiday_3,-32006077.52562933
holiday_3,-124466315.00382872
day_after_holiday_3,-2413773.3676988715
holiday_1st_or_3rd,-16700211.787540238
day_before_or_after_holiday_normal_work,-19217786.422344346
day_before_holiday_2,-6683623.197222187
day_before_holiday_7,0.0
sunday_work,97705427.18033881
workday2,33976002.441366054
workday3,31895129.87708346
