report_date,redeem
2014-09-01,356154899.39325535
2014-09-02,271589788.6233953
2014-09-03,271589788.6233953
2014-09-04,271589788.6233953
2014-09-05,227376308.60917488
2014-09-06,142879228.17070913
2014-09-07,159579439.9582494
2014-09-08,173688033.5
2014-09-09,283842854.05863404
2014-09-10,271589788.6233953
2014-09-11,283345151.7214594
2014-09-12,271137749.23286825
2014-09-13,182207510.03562152
2014-09-14,198907721.82316178
2014-09-15,354970769.3233461
2014-09-16,283345151.7214594
2014-09-17,283345151.7214594
2014-09-18,283345151.7214594
2014-09-19,271137749.23286825
2014-09-20,182207510.03562152
2014-09-21,221452025.12849832
2014-09-22,377515072.6286826
2014-09-23,305889455.0267959
2014-09-24,305889455.0267959
2014-09-25,305889455.0267959
2014-09-26,293682052.5382048
2014-09-27,301645209.57793844
2014-09-28,449935473.77109945
2014-09-29,362848233.825745
2014-09-30,273883377.5011666
