,0
workday,-24119647.034512747
weekend,24119647.034512676
1st,70961847.9700137
early,32931643.352266494
middle,-1416197.557750333
late,-31515445.794516653
mon_or_fri_work,-77967392.99983534
day_after_holiday,7544310.380346655
holiday,-139589339.4824009
holiday_2,-37753397.30152077
day_after_holiday_2,55494554.470013194
day_before_holiday_3,-22738278.022483114
holiday_3,-101835942.18088046
day_after_holiday_3,-88112492.41016768
holiday_1st_or_3rd,5452895.659144526
day_before_or_after_holiday_normal_work,35341343.495698266
day_before_holiday_2,-26635447.8665403
day_before_holiday_7,0.0
sunday_work,-22639194.073326636
