report_date,purchase
2014-09-01,449430307.35035986
2014-09-02,358055644.03412336
2014-09-03,358055644.03412336
2014-09-04,358055644.03412336
2014-09-05,266055868.6409629
2014-09-06,170322552.09901196
2014-09-07,164869656.43986744
2014-09-08,177577812.49999973
2014-09-09,312828805.5000006
2014-09-10,358055644.03412336
2014-09-11,323707803.1241065
2014-09-12,254446305.75342917
2014-09-13,200057256.06835482
2014-09-14,194604360.4092103
2014-09-15,344120618.47032934
2014-09-16,323707803.1241065
2014-09-17,323707803.1241065
2014-09-18,323707803.1241065
2014-09-19,254446305.75342917
2014-09-20,200057256.06835482
2014-09-21,164505112.172444
2014-09-22,314021370.233563
2014-09-23,293608554.88734025
2014-09-24,293608554.88734025
2014-09-25,293608554.88734025
2014-09-26,224347057.51666284
2014-09-27,207711405.13310927
2014-09-28,326752965.26338565
2014-09-29,271135716.3575181
2014-09-30,293608554.88734025
