,0
workday,-8499795.423886636
weekend,8499795.423886625
1st,18710064.96645648
early,-15919366.882353699
middle,-2971876.5630415385
late,18891243.445395082
mon_or_fri_work,-14447205.784821715
day_after_holiday,33247822.746435627
holiday,-91593581.63112052
holiday_2,-31745528.34876846
day_after_holiday_2,49035343.46645642
day_before_holiday_3,-27981521.003140476
holiday_3,-59848053.28235215
day_after_holiday_3,9828390.435199592
holiday_1st_or_3rd,-16626822.149605827
day_before_or_after_holiday_normal_work,-17978503.77825684
day_before_holiday_2,-2078944.4048923836
day_before_holiday_7,0.0
sunday_work,60425082.87397004
