report_date,redeem
2014-09-01,356154899.393255
2014-09-02,271589788.6233952
2014-09-03,271589788.6233952
2014-09-04,271589788.6233952
2014-09-05,227376308.60917464
2014-09-06,142879228.17070928
2014-09-07,159579439.95824954
2014-09-08,173688033.5
2014-09-09,283842854.05863404
2014-09-10,271589788.6233952
2014-09-11,283345151.7214594
2014-09-12,271137749.2328682
2014-09-13,182207510.0356217
2014-09-14,198907721.82316196
2014-09-15,354970769.3233458
2014-09-16,283345151.7214594
2014-09-17,283345151.7214594
2014-09-18,283345151.7214594
2014-09-19,271137749.2328682
2014-09-20,182207510.0356217
2014-09-21,221452025.1284985
2014-09-22,377515072.6286823
2014-09-23,305889455.0267959
2014-09-24,305889455.0267959
2014-09-25,305889455.0267959
2014-09-26,293682052.5382047
2014-09-27,227858639.1643354
2014-09-28,449935473.7710996
2014-09-29,362848233.8257447
2014-09-30,305889455.0267959
