,0
workday,-22960473.960412104
weekend,22960473.960412186
1st,68007918.97844297
early,33175092.23485419
middle,-1617912.8282767825
late,-31557179.40657745
mon_or_fri_work,-70573218.87079272
day_after_holiday,7823142.474755199
holiday,-135000287.44744813
holiday_2,-35621239.4008777
day_after_holiday_2,52540625.47844318
day_before_holiday_3,-22327603.109018017
holiday_3,-99379048.0465706
day_after_holiday_3,-94734692.36526817
holiday_1st_or_3rd,5422297.024458496
day_before_or_after_holiday_normal_work,34962516.90123189
day_before_holiday_2,-29241148.898330238
day_before_holiday_7,0.0
sunday_work,-9916061.521428384
workday2,10783612.99816377
workday3,2703302.8723473614
