report_date,purchase
2014-03-01,302723862.5665172
2014-03-02,229293646.5636157
2014-03-03,378747291.4747548
2014-03-04,364777838.489281
2014-03-05,356697528.3634646
2014-03-06,353994225.49111724
2014-03-07,289142374.62322617
2014-03-08,234715943.5880742
2014-03-09,229293646.5636157
2014-03-10,378747291.4747548
2014-03-11,329984833.42615
2014-03-12,321904523.3003336
2014-03-13,319201220.42798626
2014-03-14,254349369.56009522
2014-03-15,199922938.52494323
2014-03-16,194500641.50048473
2014-03-17,343954286.41162384
2014-03-18,329984833.42615
2014-03-19,321904523.3003336
2014-03-20,319201220.42798626
2014-03-21,224410102.98179454
2014-03-22,169983671.94664255
2014-03-23,164561374.92218405
2014-03-24,314015019.8333232
2014-03-25,300045566.84784937
2014-03-26,291965256.72203296
2014-03-27,289261953.8496856
2014-03-28,224410102.98179454
2014-03-29,169983671.94664255
2014-03-30,164561374.92218405
2014-03-31,314015019.8333232
2014-04-01,432785757.46772397
2014-04-02,356697528.3634646
2014-04-03,353994225.49111724
2014-04-04,266814771.5142082
2014-04-05,170958134.9423813
2014-04-06,165535837.9179228
2014-04-07,177577812.5000002
2014-04-08,312828805.49999994
2014-04-09,356697528.3634646
2014-04-10,353994225.49111724
2014-04-11,254349369.56009522
2014-04-12,199922938.52494323
2014-04-13,194500641.50048473
2014-04-14,343954286.41162384
2014-04-15,329984833.42615
2014-04-16,321904523.3003336
2014-04-17,319201220.42798626
2014-04-18,254349369.56009522
2014-04-19,199922938.52494323
2014-04-20,194500641.50048473
2014-04-21,314015019.8333232
2014-04-22,300045566.84784937
2014-04-23,291965256.72203296
2014-04-24,289261953.8496856
2014-04-25,224410102.98179454
2014-04-26,169983671.94664255
2014-04-27,164561374.92218405
2014-04-28,314015019.8333232
2014-04-29,300045566.84784937
2014-04-30,269637653.61301494
2014-05-01,193045105.99999997
2014-05-02,125336258.00000015
2014-05-03,170958134.9423813
2014-05-04,303087562.0000002
2014-05-05,370924148.99999964
2014-05-06,364777838.489281
2014-05-07,356697528.3634646
2014-05-08,353994225.49111724
2014-05-09,289142374.62322617
2014-05-10,234715943.5880742
2014-05-11,194500641.50048473
2014-05-12,343954286.41162384
2014-05-13,329984833.42615
2014-05-14,321904523.3003336
2014-05-15,319201220.42798626
2014-05-16,254349369.56009522
2014-05-17,199922938.52494323
2014-05-18,194500641.50048473
2014-05-19,343954286.41162384
2014-05-20,329984833.42615
2014-05-21,291965256.72203296
2014-05-22,289261953.8496856
2014-05-23,224410102.98179454
2014-05-24,169983671.94664255
2014-05-25,164561374.92218405
2014-05-26,314015019.8333232
2014-05-27,300045566.84784937
2014-05-28,291965256.72203296
2014-05-29,289261953.8496856
2014-05-30,202082499.8727765
2014-05-31,106225863.30094966
2014-06-01,233543756.89636576
2014-06-02,177577812.5000002
2014-06-03,312828805.49999994
2014-06-04,356697528.3634646
2014-06-05,353994225.49111724
2014-06-06,289142374.62322617
2014-06-07,234715943.5880742
2014-06-08,229293646.5636157
2014-06-09,378747291.4747548
2014-06-10,364777838.489281
2014-06-11,321904523.3003336
2014-06-12,319201220.42798626
2014-06-13,254349369.56009522
2014-06-14,199922938.52494323
2014-06-15,194500641.50048473
2014-06-16,343954286.41162384
2014-06-17,329984833.42615
2014-06-18,321904523.3003336
2014-06-19,319201220.42798626
2014-06-20,254349369.56009522
2014-06-21,169983671.94664255
2014-06-22,164561374.92218405
2014-06-23,314015019.8333232
2014-06-24,300045566.84784937
2014-06-25,291965256.72203296
2014-06-26,289261953.8496856
2014-06-27,224410102.98179454
2014-06-28,169983671.94664255
2014-06-29,164561374.92218405
2014-06-30,314015019.8333232
2014-07-01,432785757.46772397
2014-07-02,356697528.3634646
2014-07-03,353994225.49111724
2014-07-04,289142374.62322617
2014-07-05,234715943.5880742
2014-07-06,229293646.5636157
2014-07-07,378747291.4747548
2014-07-08,364777838.489281
2014-07-09,356697528.3634646
2014-07-10,353994225.49111724
2014-07-11,254349369.56009522
2014-07-12,199922938.52494323
2014-07-13,194500641.50048473
2014-07-14,343954286.41162384
2014-07-15,329984833.42615
2014-07-16,321904523.3003336
2014-07-17,319201220.42798626
2014-07-18,254349369.56009522
2014-07-19,199922938.52494323
2014-07-20,194500641.50048473
2014-07-21,314015019.8333232
2014-07-22,300045566.84784937
2014-07-23,291965256.72203296
2014-07-24,289261953.8496856
2014-07-25,224410102.98179454
2014-07-26,169983671.94664255
2014-07-27,164561374.92218405
2014-07-28,314015019.8333232
2014-07-29,300045566.84784937
2014-07-30,291965256.72203296
2014-07-31,289261953.8496856
2014-08-01,357150293.60166913
2014-08-02,234715943.5880742
2014-08-03,229293646.5636157
2014-08-04,378747291.4747548
2014-08-05,364777838.489281
2014-08-06,356697528.3634646
2014-08-07,353994225.49111724
2014-08-08,289142374.62322617
2014-08-09,234715943.5880742
2014-08-10,229293646.5636157
2014-08-11,343954286.41162384
2014-08-12,329984833.42615
2014-08-13,321904523.3003336
2014-08-14,319201220.42798626
2014-08-15,254349369.56009522
2014-08-16,199922938.52494323
2014-08-17,194500641.50048473
2014-08-18,343954286.41162384
2014-08-19,329984833.42615
2014-08-20,321904523.3003336
2014-08-21,289261953.8496856
2014-08-22,224410102.98179454
2014-08-23,169983671.94664255
2014-08-24,164561374.92218405
2014-08-25,314015019.8333232
2014-08-26,300045566.84784937
2014-08-27,291965256.72203296
2014-08-28,289261953.8496856
2014-08-29,224410102.98179454
2014-08-30,169983671.94664255
2014-08-31,164561374.92218405
2014-09-01,446755210.4531978
2014-09-02,353994225.49111724
2014-09-03,353994225.49111724
2014-09-04,353994225.49111724
2014-09-05,266814771.5142082
2014-09-06,170958134.9423813
2014-09-07,165535837.9179228
2014-09-08,177577812.5000002
2014-09-09,302045192.5018362
2014-09-10,353994225.49111724
2014-09-11,319201220.42798626
2014-09-12,254349369.56009522
2014-09-13,199922938.52494323
2014-09-14,194500641.50048473
2014-09-15,343954286.41162384
2014-09-16,319201220.42798626
2014-09-17,319201220.42798626
2014-09-18,319201220.42798626
2014-09-19,254349369.56009522
2014-09-20,199922938.52494323
2014-09-21,164561374.92218405
2014-09-22,314015019.8333232
2014-09-23,289261953.8496856
2014-09-24,289261953.8496856
2014-09-25,289261953.8496856
2014-09-26,224410102.98179454
2014-09-27,205604911.34752026
2014-09-28,333089982.7238367
2014-09-29,271229360.45733607
2014-09-30,266934350.74066758
