,0
workday,-6227983.1693411125
weekend,6227983.1693411255
1st,12939493.167973347
early,-15351676.500488294
middle,-3596313.4024241525
late,18947989.90291238
mon_or_fri_work,13694007.130975857
day_after_holiday,33884625.22528174
holiday,-73786570.4136025
holiday_2,-23106825.823377144
day_after_holiday_2,43264771.667972915
day_before_holiday_3,-32006077.525629427
holiday_3,-50679744.59022543
day_after_holiday_3,-2413773.3676988436
holiday_1st_or_3rd,-16700211.787540244
day_before_or_after_holiday_normal_work,-19217786.422344074
day_before_holiday_2,-6683623.19722295
day_before_holiday_7,0.0
sunday_work,97705427.18033977
workday2,33976002.44136607
workday3,31895129.87708348
