report_date,redeem
2014-03-01,183391640.10553092
2014-03-02,187152358.72509784
2014-03-03,343215406.22528166
2014-03-04,305565791.0647613
2014-03-05,303484918.5004787
2014-03-06,271589788.6233952
2014-03-07,259382386.13480407
2014-03-08,170452146.93755758
2014-03-09,187152358.72509784
2014-03-10,343215406.22528166
2014-03-11,317321154.16282547
2014-03-12,315240281.59854287
2014-03-13,283345151.7214594
2014-03-14,271137749.2328682
2014-03-15,182207510.0356217
2014-03-16,198907721.82316196
2014-03-17,354970769.3233458
2014-03-18,317321154.16282547
2014-03-19,315240281.59854287
2014-03-20,283345151.7214594
2014-03-21,293682052.5382047
2014-03-22,204751813.34095824
2014-03-23,221452025.1284985
2014-03-24,377515072.6286823
2014-03-25,339865457.46816194
2014-03-26,337784584.9038794
2014-03-27,305889455.0267959
2014-03-28,293682052.5382047
2014-03-29,204751813.34095824
2014-03-30,221452025.1284985
2014-03-31,377515072.6286823
2014-04-01,318505284.2327346
2014-04-02,303484918.5004787
2014-04-03,271589788.6233952
2014-04-04,227376308.60917464
2014-04-05,142879228.17070928
2014-04-06,159579439.95824954
2014-04-07,173688033.5
2014-04-08,317818856.5000001
2014-04-09,303484918.5004787
2014-04-10,271589788.6233952
2014-04-11,271137749.2328682
2014-04-12,182207510.0356217
2014-04-13,198907721.82316196
2014-04-14,354970769.3233458
2014-04-15,317321154.16282547
2014-04-16,315240281.59854287
2014-04-17,283345151.7214594
2014-04-18,271137749.2328682
2014-04-19,182207510.0356217
2014-04-20,198907721.82316196
2014-04-21,377515072.6286823
2014-04-22,339865457.46816194
2014-04-23,337784584.9038794
2014-04-24,305889455.0267959
2014-04-25,293682052.5382047
2014-04-26,204751813.34095824
2014-04-27,221452025.1284985
2014-04-28,377515072.6286823
2014-04-29,339865457.46816194
2014-04-30,305778507.37824994
2014-05-01,143362755.0000004
2014-05-02,121222064.0000003
2014-05-03,142879228.17070928
2014-05-04,413222034.0000001
2014-05-05,309330780.99999994
2014-05-06,305565791.0647613
2014-05-07,303484918.5004787
2014-05-08,271589788.6233952
2014-05-09,259382386.13480407
2014-05-10,170452146.93755758
2014-05-11,198907721.82316196
2014-05-12,354970769.3233458
2014-05-13,317321154.16282547
2014-05-14,315240281.59854287
2014-05-15,283345151.7214594
2014-05-16,271137749.2328682
2014-05-17,182207510.0356217
2014-05-18,198907721.82316196
2014-05-19,354970769.3233458
2014-05-20,317321154.16282547
2014-05-21,337784584.9038794
2014-05-22,305889455.0267959
2014-05-23,293682052.5382047
2014-05-24,204751813.34095824
2014-05-25,221452025.1284985
2014-05-26,377515072.6286823
2014-05-27,339865457.46816194
2014-05-28,337784584.9038794
2014-05-29,305889455.0267959
2014-05-30,261675975.0125753
2014-05-31,177178894.57410997
2014-06-01,172518933.12622288
2014-06-02,173688033.5
2014-06-03,317818856.5000001
2014-06-04,303484918.5004787
2014-06-05,271589788.6233952
2014-06-06,259382386.13480407
2014-06-07,170452146.93755758
2014-06-08,187152358.72509784
2014-06-09,343215406.22528166
2014-06-10,305565791.0647613
2014-06-11,315240281.59854287
2014-06-12,283345151.7214594
2014-06-13,271137749.2328682
2014-06-14,182207510.0356217
2014-06-15,198907721.82316196
2014-06-16,354970769.3233458
2014-06-17,317321154.16282547
2014-06-18,315240281.59854287
2014-06-19,283345151.7214594
2014-06-20,271137749.2328682
2014-06-21,204751813.34095824
2014-06-22,221452025.1284985
2014-06-23,377515072.6286823
2014-06-24,339865457.46816194
2014-06-25,337784584.9038794
2014-06-26,305889455.0267959
2014-06-27,293682052.5382047
2014-06-28,204751813.34095824
2014-06-29,221452025.1284985
2014-06-30,377515072.6286823
2014-07-01,318505284.2327346
2014-07-02,303484918.5004787
2014-07-03,271589788.6233952
2014-07-04,259382386.13480407
2014-07-05,170452146.93755758
2014-07-06,187152358.72509784
2014-07-07,343215406.22528166
2014-07-08,305565791.0647613
2014-07-09,303484918.5004787
2014-07-10,271589788.6233952
2014-07-11,271137749.2328682
2014-07-12,182207510.0356217
2014-07-13,198907721.82316196
2014-07-14,354970769.3233458
2014-07-15,317321154.16282547
2014-07-16,315240281.59854287
2014-07-17,283345151.7214594
2014-07-18,271137749.2328682
2014-07-19,182207510.0356217
2014-07-20,198907721.82316196
2014-07-21,377515072.6286823
2014-07-22,339865457.46816194
2014-07-23,337784584.9038794
2014-07-24,305889455.0267959
2014-07-25,293682052.5382047
2014-07-26,204751813.34095824
2014-07-27,221452025.1284985
2014-07-28,377515072.6286823
2014-07-29,339865457.46816194
2014-07-30,337784584.9038794
2014-07-31,305889455.0267959
2014-08-01,272321879.3027774
2014-08-02,170452146.93755758
2014-08-03,187152358.72509784
2014-08-04,343215406.22528166
2014-08-05,305565791.0647613
2014-08-06,303484918.5004787
2014-08-07,271589788.6233952
2014-08-08,259382386.13480407
2014-08-09,170452146.93755758
2014-08-10,187152358.72509784
2014-08-11,354970769.3233458
2014-08-12,317321154.16282547
2014-08-13,315240281.59854287
2014-08-14,283345151.7214594
2014-08-15,271137749.2328682
2014-08-16,182207510.0356217
2014-08-17,198907721.82316196
2014-08-18,354970769.3233458
2014-08-19,317321154.16282547
2014-08-20,315240281.59854287
2014-08-21,305889455.0267959
2014-08-22,293682052.5382047
2014-08-23,204751813.34095824
2014-08-24,221452025.1284985
2014-08-25,377515072.6286823
2014-08-26,339865457.46816194
2014-08-27,337784584.9038794
2014-08-28,305889455.0267959
2014-08-29,293682052.5382047
2014-08-30,204751813.34095824
2014-08-31,221452025.1284985
2014-09-01,356154899.393255
2014-09-02,271589788.6233952
2014-09-03,271589788.6233952
2014-09-04,271589788.6233952
2014-09-05,227376308.60917464
2014-09-06,142879228.17070928
2014-09-07,159579439.95824954
2014-09-08,173688033.5
2014-09-09,283842854.05863404
2014-09-10,271589788.6233952
2014-09-11,283345151.7214594
2014-09-12,271137749.2328682
2014-09-13,182207510.0356217
2014-09-14,198907721.82316196
2014-09-15,354970769.3233458
2014-09-16,283345151.7214594
2014-09-17,283345151.7214594
2014-09-18,283345151.7214594
2014-09-19,271137749.2328682
2014-09-20,182207510.0356217
2014-09-21,221452025.1284985
2014-09-22,377515072.6286823
2014-09-23,305889455.0267959
2014-09-24,305889455.0267959
2014-09-25,305889455.0267959
2014-09-26,293682052.5382047
2014-09-27,227858639.1643354
2014-09-28,449935473.7710996
2014-09-29,362848233.8257447
2014-09-30,273883377.50116646
