report_date,purchase
2014-09-01,422456714.2580741
2014-09-02,329579986.2400185
2014-09-03,329579986.2400185
2014-09-04,329579986.2400185
2014-09-05,251275551.69262728
2014-09-06,165271222.94470125
2014-09-07,158929068.2557956
2014-09-08,177577812.49999994
2014-09-09,309832829.61776257
2014-09-10,329579986.2400185
2014-09-11,308451758.9389462
2014-09-12,244311711.46442693
2014-09-13,191492336.7256305
2014-09-14,185150182.03672484
2014-09-15,324677757.77345335
2014-09-16,308451758.9389462
2014-09-17,308451758.9389462
2014-09-18,308451758.9389462
2014-09-19,244311711.46442693
2014-09-20,191492336.7256305
2014-09-21,163177602.8085529
2014-09-22,302705178.5452814
2014-09-23,286479179.71077424
2014-09-24,286479179.71077424
2014-09-25,286479179.71077424
2014-09-26,222339132.236255
2014-09-27,211129451.4802816
2014-09-28,314200558.59094363
2014-09-29,268238532.0473493
2014-09-30,272314792.63790226
