report_date,purchase
2014-06-25,293249015.21686184
2014-06-17,311447734.8211837
2014-06-16,324677757.77345335
2014-08-27,293249015.21686184
2014-06-30,302705178.5452814
2014-07-21,302705178.5452814
2014-06-24,289475155.59301174
2014-06-18,315221594.4450338
2014-06-26,286479179.71077424
2014-08-11,324677757.77345335
2014-04-14,324677757.77345335
2014-05-28,293249015.21686184
2014-05-04,303087561.9999999
2014-06-27,222339132.236255
2014-06-13,244311711.46442693
2014-06-03,312828805.50000006
2014-07-01,409226691.30580443
2014-06-23,302705178.5452814
2014-07-22,289475155.59301174
2014-06-22,163177602.8085529
2014-06-05,329579986.2400185
2014-07-24,286479179.71077424
2014-07-28,302705178.5452814
2014-05-06,332575962.122256
2014-07-08,332575962.122256
2014-07-02,336349821.7461061
2014-04-28,302705178.5452814
2014-07-10,329579986.2400185
2014-08-04,345805985.07452565
2014-05-27,289475155.59301174
2014-07-07,345805985.07452565
2014-05-14,315221594.4450338
2014-05-29,286479179.71077424
2014-05-30,208174745.16338298
2014-08-25,302705178.5452814
2014-08-08,265439938.76549926
2014-08-12,311447734.8211837
2014-05-05,370924149.0
2014-07-23,293249015.21686184
2014-04-29,289475155.59301174
2014-06-04,336349821.7461061
2014-08-13,315221594.4450338
2014-07-29,289475155.59301174
2014-07-17,308451758.9389462
2014-06-10,332575962.122256
2014-08-28,286479179.71077424
2014-04-21,302705178.5452814
2014-05-12,324677757.77345335
2014-05-19,324677757.77345335
2014-08-31,163177602.8085529
2014-04-09,336349821.7461061
2014-07-03,329579986.2400185
2014-06-09,345805985.07452565
2014-04-10,329579986.2400185
2014-06-20,244311711.46442693
2014-08-26,289475155.59301174
2014-04-15,311447734.8211837
2014-06-19,308451758.9389462
2014-07-14,324677757.77345335
2014-06-28,169519757.49745855
2014-07-26,169519757.49745855
2014-08-06,336349821.7461061
2014-05-16,244311711.46442693
2014-04-30,279084628.14398986
2014-04-23,293249015.21686184
2014-04-01,409226691.30580443
2014-07-31,286479179.71077424
2014-04-11,244311711.46442693
2014-06-06,265439938.76549926
2014-05-26,302705178.5452814
2014-08-29,222339132.236255
2014-05-08,329579986.2400185
2014-04-02,336349821.7461061
2014-07-05,212620564.02670282
2014-07-09,336349821.7461061
2014-04-22,289475155.59301174
2014-04-03,329579986.2400185
2014-04-17,308451758.9389462
2014-07-04,265439938.76549926
2014-07-25,222339132.236255
2014-07-15,311447734.8211837
2014-06-29,163177602.8085529
2014-05-20,311447734.8211837
2014-08-18,324677757.77345335
2014-05-13,311447734.8211837
2014-04-16,315221594.4450338
2014-08-19,311447734.8211837
2014-08-07,329579986.2400185
2014-08-01,342090667.94904774
2014-05-22,286479179.71077424
2014-05-21,293249015.21686184
2014-07-30,293249015.21686184
2014-04-08,312828805.50000006
2014-05-09,265439938.76549926
2014-06-11,315221594.4450338
2014-07-11,244311711.46442693
2014-05-07,336349821.7461061
2014-05-15,308451758.9389462
2014-08-15,244311711.46442693
2014-06-12,308451758.9389462
2014-07-16,315221594.4450338
2014-05-25,163177602.8085529
2014-06-21,169519757.49745855
2014-06-14,191492336.7256305
2014-05-23,222339132.236255
2014-04-25,222339132.236255
2014-04-18,244311711.46442693
2014-04-24,286479179.71077424
2014-08-05,332575962.122256
2014-08-21,286479179.71077424
2014-08-16,191492336.7256305
2014-08-14,308451758.9389462
2014-07-18,244311711.46442693
2014-08-20,315221594.4450338
2014-04-04,251275551.69262728
2014-05-03,165271222.94470125
2014-07-13,185150182.03672484
2014-08-23,169519757.49745855
2014-08-30,169519757.49745855
2014-07-06,206278409.33779716
2014-04-27,163177602.8085529
2014-08-24,163177602.8085529
2014-08-10,206278409.33779716
2014-08-22,222339132.236255
2014-04-13,185150182.03672484
2014-04-07,177577812.49999994
2014-07-20,185150182.03672484
2014-08-02,212620564.02670282
2014-06-02,177577812.49999994
2014-06-08,206278409.33779716
2014-07-27,163177602.8085529
2014-08-09,212620564.02670282
2014-04-05,165271222.94470125
2014-04-20,185150182.03672484
2014-04-26,169519757.49745855
2014-07-19,191492336.7256305
2014-05-24,169519757.49745855
2014-05-18,185150182.03672484
2014-05-11,185150182.03672484
2014-06-01,235579797.43934408
2014-07-12,191492336.7256305
2014-05-10,212620564.02670282
2014-04-19,191492336.7256305
2014-06-07,212620564.02670282
2014-05-17,191492336.7256305
2014-05-01,193045106.00000024
2014-05-31,122170416.41545701
2014-04-06,158929068.2557956
2014-08-17,185150182.03672484
2014-08-03,206278409.33779716
2014-04-12,191492336.7256305
2014-05-02,125336257.99999997
2014-06-15,185150182.03672484
2014-09-01,422456714.2580741
2014-09-02,329579986.2400185
2014-09-03,329579986.2400185
2014-09-04,329579986.2400185
2014-09-05,251275551.69262728
2014-09-06,165271222.94470125
2014-09-07,158929068.2557956
2014-09-08,177577812.49999994
2014-09-09,309832829.61776257
2014-09-10,329579986.2400185
2014-09-11,308451758.9389462
2014-09-12,244311711.46442693
2014-09-13,191492336.7256305
2014-09-14,185150182.03672484
2014-09-15,324677757.77345335
2014-09-16,308451758.9389462
2014-09-17,308451758.9389462
2014-09-18,308451758.9389462
2014-09-19,244311711.46442693
2014-09-20,191492336.7256305
2014-09-21,163177602.8085529
2014-09-22,302705178.5452814
2014-09-23,286479179.71077424
2014-09-24,286479179.71077424
2014-09-25,286479179.71077424
2014-09-26,222339132.236255
2014-09-27,211129451.4802816
2014-09-28,314200558.59094363
2014-09-29,268238532.0473493
2014-09-30,272314792.63790226
