,0
workday,-7851639.78940974
weekend,7851639.789409648
1st,9044900.984625632
early,-8923694.137505716
middle,-14201800.746524937
late,23125494.88403058
mon_or_fri_work,2374601.507325753
day_after_holiday,23346256.616158053
holiday_2,-106202686.86483137
day_after_holiday_2,39370179.48462533
day_before_holiday_3,-29004916.91795249
holiday_3,-135787415.2342303
day_after_holiday_3,-4320752.2203241335
holiday_1st_or_3rd,-1917983.0114344764
day_before_or_after_holiday_normal_work,-4437252.252990505
day_before_holiday_2,-10576520.7738187
day_before_holiday_7,0.0
sunday_work,106469997.7643075
workday2,31207352.096117098
workday3,26955749.96663322
