report_date,redeem
2014-06-25,331028191.24920887
2014-06-17,297952497.7481372
2014-06-16,327398931.0071387
2014-08-27,331028191.24920887
2014-06-30,364726226.63769424
2014-07-21,364726226.63769424
2014-06-24,335279793.37869275
2014-06-18,293700895.6186533
2014-06-26,304072441.2825756
2014-08-11,327398931.0071387
2014-04-14,327398931.0071387
2014-05-28,331028191.24920887
2014-05-04,413222034.0000001
2014-06-27,291433269.76309216
2014-06-13,254105974.13253665
2014-06-03,317818856.4999998
2014-07-01,312275505.34178203
2014-06-23,364726226.63769424
2014-07-22,335279793.37869275
2014-06-22,213573033.99656364
2014-06-05,272023252.2610393
2014-07-24,304072441.2825756
2014-07-28,364726226.63769424
2014-05-06,303230604.3571564
2014-07-08,303230604.3571564
2014-07-02,298979002.2276726
2014-04-28,364726226.63769424
2014-07-10,272023252.2610393
2014-08-04,332677037.61615795
2014-05-27,335279793.37869275
2014-07-07,332677037.61615795
2014-05-14,293700895.6186533
2014-05-29,304072441.2825756
2014-05-30,262428352.84513968
2014-08-25,364726226.63769424
2014-08-08,259384080.74155587
2014-08-12,297952497.7481372
2014-05-05,309330780.9999999
2014-07-23,331028191.24920887
2014-04-29,335279793.37869275
2014-06-04,298979002.2276726
2014-08-13,293700895.6186533
2014-07-29,335279793.37869275
2014-07-17,266745145.6520201
2014-06-10,303230604.3571564
2014-08-28,304072441.2825756
2014-04-21,364726226.63769424
2014-05-12,327398931.0071387
2014-05-19,327398931.0071387
2014-08-31,213573033.99656364
2014-04-09,298979002.2276726
2014-07-03,272023252.2610393
2014-06-09,332677037.61615795
2014-04-10,272023252.2610393
2014-06-20,254105974.13253665
2014-08-26,335279793.37869275
2014-04-15,297952497.7481372
2014-06-19,266745145.6520201
2014-07-14,327398931.0071387
2014-06-28,211655050.98512918
2014-07-26,211655050.98512918
2014-08-06,298979002.2276726
2014-05-16,254105974.13253665
2014-04-30,302023274.33125633
2014-04-23,331028191.24920887
2014-04-01,312275505.34178203
2014-07-31,304072441.2825756
2014-04-11,254105974.13253665
2014-06-06,259384080.74155587
2014-05-26,364726226.63769424
2014-08-29,291433269.76309216
2014-05-08,272023252.2610393
2014-04-02,298979002.2276726
2014-07-05,179605861.96359286
2014-07-09,298979002.2276726
2014-04-22,335279793.37869275
2014-04-03,272023252.2610393
2014-04-17,266745145.6520201
2014-07-04,259384080.74155587
2014-07-25,291433269.76309216
2014-07-15,297952497.7481372
2014-06-29,213573033.99656364
2014-05-20,297952497.7481372
2014-08-18,327398931.0071387
2014-05-13,297952497.7481372
2014-04-16,293700895.6186533
2014-08-19,297952497.7481372
2014-08-07,272023252.2610393
2014-08-01,268428981.7261815
2014-05-22,304072441.2825756
2014-05-21,331028191.24920887
2014-07-30,331028191.24920887
2014-04-08,317818856.4999998
2014-05-09,259384080.74155587
2014-06-11,293700895.6186533
2014-07-11,254105974.13253665
2014-05-07,298979002.2276726
2014-05-15,266745145.6520201
2014-08-15,254105974.13253665
2014-06-12,266745145.6520201
2014-07-16,293700895.6186533
2014-05-25,213573033.99656364
2014-06-21,211655050.98512918
2014-06-14,174327755.35457364
2014-05-23,291433269.76309216
2014-04-25,291433269.76309216
2014-04-18,254105974.13253665
2014-04-24,304072441.2825756
2014-08-05,303230604.3571564
2014-08-21,304072441.2825756
2014-08-16,174327755.35457364
2014-08-14,266745145.6520201
2014-07-18,254105974.13253665
2014-08-20,293700895.6186533
2014-04-04,230379163.8236034
2014-05-03,150021133.59419394
2014-07-13,176245738.3660081
2014-08-23,211655050.98512918
2014-08-30,211655050.98512918
2014-07-06,181523844.97502732
2014-04-27,213573033.99656364
2014-08-24,213573033.99656364
2014-08-10,181523844.97502732
2014-08-22,291433269.76309216
2014-04-13,176245738.3660081
2014-04-07,173688033.49999988
2014-07-20,176245738.3660081
2014-08-02,179605861.96359286
2014-06-02,173688033.49999988
2014-06-08,181523844.97502732
2014-07-27,213573033.99656364
2014-08-09,179605861.96359286
2014-04-05,150021133.59419394
2014-04-20,176245738.3660081
2014-04-26,211655050.98512918
2014-07-19,174327755.35457364
2014-05-24,211655050.98512918
2014-05-18,176245738.3660081
2014-05-11,176245738.3660081
2014-06-01,160984017.59025404
2014-07-12,174327755.35457364
2014-05-10,179605861.96359286
2014-04-19,174327755.35457364
2014-06-07,179605861.96359286
2014-05-17,174327755.35457364
2014-05-01,143362755.00000018
2014-05-31,182070322.61573023
2014-04-06,151939116.6056284
2014-08-17,176245738.3660081
2014-08-03,181523844.97502732
2014-04-12,174327755.35457364
2014-05-02,121222063.99999979
2014-06-15,176245738.3660081
2014-09-01,341721938.6007836
2014-09-02,272023252.2610393
2014-09-03,272023252.2610393
2014-09-04,272023252.2610393
2014-09-05,230379163.8236034
2014-09-06,150021133.59419394
2014-09-07,151939116.6056284
2014-09-08,173688033.49999988
2014-09-09,286611504.40388274
2014-09-10,272023252.2610393
2014-09-11,266745145.6520201
2014-09-12,254105974.13253665
2014-09-13,174327755.35457364
2014-09-14,176245738.3660081
2014-09-15,327398931.0071387
2014-09-16,266745145.6520201
2014-09-17,266745145.6520201
2014-09-18,266745145.6520201
2014-09-19,254105974.13253665
2014-09-20,174327755.35457364
2014-09-21,213573033.99656364
2014-09-22,364726226.63769424
2014-09-23,304072441.2825756
2014-09-24,304072441.2825756
2014-09-25,304072441.2825756
2014-09-26,291433269.76309216
2014-09-27,317857737.84996057
2014-09-28,449591975.24186057
2014-09-29,345817222.2745267
2014-09-30,275067524.3646231
