report_date,mfd_7daily_yield,total_redeem_amt,total_purchase_amt
2013/7/1,6.307,5525022,32488348
2013/7/2,6.174,2554548,29037390
2013/7/3,6.034,5953867,27270770
2013/7/4,5.903,6410729,18321185
2013/7/5,5.739,2763587,11648749
2013/7/6,5.582,1616635,36751272
2013/7/7,5.425,3982735,8962232
2013/7/8,5.279,8347729,57258266
2013/7/9,5.15,3473059,26798941
2013/7/10,5.047,2597169,30696506
2013/7/11,4.959,3508800,44075197
2013/7/12,4.884,8492573,34183904
2013/7/13,4.815,3482829,15164717
2013/7/14,4.745,2784107,22615303
2013/7/15,4.682,13107943,48128555
2013/7/16,4.634,11864981,50622847
2013/7/17,4.582,10911513,29015682
2013/7/18,4.543,11765356,24234505
2013/7/19,4.518,9244769,33680124
2013/7/20,4.494,4601143,20439079
2013/7/21,4.471,2681331,21142394
2013/7/22,4.447,19144267,40448896
2013/7/23,4.426,24404051,58136147
2013/7/24,4.424,36258592,48422518
2013/7/25,4.411,38212836,57433418
2013/7/26,4.397,39192369,44721817
2013/7/27,4.384,15058893,17194451
2013/7/28,4.371,7683211,36255382
2013/7/29,4.369,18599364,53512076
2013/7/30,4.377,13048582,47481243
2013/7/31,4.392,9534040,54569637
2013/8/1,4.413,18864468,53369962
2013/8/2,4.437,40150769,38064536
2013/8/3,4.46,20701797,21595789
2013/8/4,4.483,8263965,45745254
2013/8/5,4.503,15797507,43632203
2013/8/6,4.507,16401387,50866184
2013/8/7,4.509,29708706,43908081
2013/8/8,4.516,29551691,44493490
2013/8/9,4.513,30131015,33425186
2013/8/10,4.512,26614408,20615307
2013/8/11,4.511,15372680,55519543
2013/8/12,4.511,28586669,94520502
2013/8/13,4.517,28790328,48720919
2013/8/14,4.521,15031683,30541167
2013/8/15,4.523,52659327,42421222
2013/8/16,4.524,33739844,41683536
2013/8/17,4.525,4674983,17670519
2013/8/18,4.526,15218300,59703092
2013/8/19,4.532,28339260,109184209
2013/8/20,4.54,30131225,53675509
2013/8/21,4.545,29983342,38184446
2013/8/22,4.546,25000672,89130737
2013/8/23,4.548,25680323,37878575
2013/8/24,4.551,14316598,44367268
2013/8/25,4.554,18117808,43306288
2013/8/26,4.546,20637986,74496541
2013/8/27,4.538,60137633,45268028
2013/8/28,4.528,33696861,46602319
2013/8/29,4.583,35944968,47518666
2013/8/30,4.686,20630752,56488844
2013/8/31,4.685,22012016,47655303
2013/9/1,4.685,59339949,56239802
2013/9/2,4.829,17785524,140844739
2013/9/3,4.84,39328144,80507880
2013/9/4,4.852,27452600,33366708
2013/9/5,4.807,21800904,38716505
2013/9/6,4.859,33417903,38923186
2013/9/7,4.87,20344424,34076183
2013/9/8,4.88,14919122,38796909
2013/9/9,4.876,45621186,49312473
2013/9/10,4.979,37128363,94684143
2013/9/11,4.989,71674082,98944459
2013/9/12,5.001,45147220,68573684
2013/9/13,4.932,60512675,71655946
2013/9/14,4.943,36312660,30975443
2013/9/15,4.956,25020715,37059683
2013/9/16,4.942,45184589,161656210
2013/9/17,4.848,58260798,76204815
2013/9/18,4.894,47203221,42926608
2013/9/19,4.893,11418512,24778048
2013/9/20,4.827,15188254,28365762
2013/9/21,4.825,26596179,32406340
2013/9/22,4.822,47962055,67514169
2013/9/23,4.724,58285879,54658160
2013/9/24,4.767,56680792,74250859
2013/9/25,4.796,74838162,47274168
2013/9/26,4.897,48467529,68718693
2013/9/27,4.963,27639603,42166121
2013/9/28,4.994,58105720,39995798
2013/9/29,5.026,40295202,34433848
2013/9/30,5.07,30181353,28398050
2013/10/1,5.065,12813267,19137499
2013/10/2,5.026,7233874,11562708
2013/10/3,4.956,6223263,10101194
2013/10/4,4.922,23412350,19907689
2013/10/5,4.924,13966453,26364686
2013/10/6,4.922,13464528,38730653
2013/10/7,4.919,28894400,42797733
2013/10/8,5.006,77856096,109806912
2013/10/9,4.992,33999376,72422299
2013/10/10,4.987,52244531,72094613
2013/10/11,4.985,27666473,82674757
2013/10/12,4.98,31322983,81901136
2013/10/13,4.978,31850475,71149981
2013/10/14,4.96,40652625,130315300
2013/10/15,4.889,35099198,85704304
2013/10/16,4.899,51261982,100948091
2013/10/17,4.889,23274764,87203217
2013/10/18,4.878,15938355,98151450
2013/10/19,4.866,26684697,53148443
2013/10/20,4.854,50884342,47766681
2013/10/21,4.888,45781403,106030290
2013/10/22,4.846,96172537,145611496
2013/10/23,4.825,73788462,106093112
2013/10/24,4.819,58183921,69530830
2013/10/25,4.811,52225802,69936453
2013/10/26,4.804,49357211,55752506
2013/10/27,4.797,46520570,68007543
2013/10/28,4.743,55089464,129993375
2013/10/29,4.754,43052468,102050144
2013/10/30,4.763,63908701,109663260
2013/10/31,4.772,55607833,90926701
2013/11/1,4.781,66933119,150904945
2013/11/2,4.79,26705506,62132300
2013/11/3,4.8,30895754,68707870
2013/11/4,4.825,130970051,300027403
2013/11/5,4.828,82689864,180904814
2013/11/6,4.829,131707820,181474910
2013/11/7,4.827,83306452,167963464
2013/11/8,4.827,92856307,231749471
2013/11/9,4.826,45885771,126467028
2013/11/10,4.825,85293644,164813471
2013/11/11,4.938,227124951,147986439
