ds,y
2013-07-01,73669.72335600907
2013-07-02,60494.5625
2013-07-03,54650.841683366736
2013-07-04,35030.9464627151
2013-07-05,21413.141544117647
2013-07-06,66457.99638336347
2013-07-07,15834.332155477032
2013-07-08,98721.14827586207
2013-07-09,43646.483713355046
2013-07-10,49590.47819063005
2013-07-11,66983.5820668693
2013-07-12,50493.211225997045
2013-07-13,21851.177233429396
2013-07-14,32446.632711621234
2013-07-15,67406.93977591036
2013-07-16,68501.82273342354
2013-07-17,37928.99607843137
2013-07-18,31391.84585492228
2013-07-19,42741.27411167513
2013-07-20,25233.43086419753
2013-07-21,25878.08323133415
2013-07-22,48153.44761904762
2013-07-23,66900.05408515535
2013-07-24,54714.709604519776
2013-07-25,63392.293598234
2013-07-26,48347.91027027027
2013-07-27,18730.338779956426
2013-07-28,38734.38247863248
2013-07-29,56210.163865546216
2013-07-30,48949.73505154639
2013-07-31,55854.285568065505
2013-08-01,53909.052525252526
2013-08-02,37650.38180019782
2013-08-03,21360.819980217606
2013-08-04,44542.603700097374
2013-08-05,41753.304306220096
2013-08-06,47941.73798303487
2013-08-07,40505.60977859778
2013-08-08,40633.324200913245
2013-08-09,30331.384754990926
2013-08-10,18673.285326086956
2013-08-11,49704.15666965085
2013-08-12,83277.97533039648
2013-08-13,42073.33246977547
2013-08-14,26170.665809768638
2013-08-15,36133.9199318569
2013-08-16,35325.03050847458
2013-08-17,14937.040574809806
2013-08-18,49628.50540315877
2013-08-19,90835.44841930116
2013-08-20,43781.00244698206
2013-08-21,31196.442810457516
2013-08-22,71247.59152677857
2013-08-23,29919.885466034753
2013-08-24,35184.19349722443
2013-08-25,33939.09717868338
2013-08-26,57570.74265842349
2013-08-27,34555.7465648855
2013-08-28,35278.06131718395
2013-08-29,35514.69805680119
2013-08-30,41936.78099480327
2013-08-31,34886.751830161054
2013-09-01,40723.96958725561
2013-09-02,99889.88581560284
2013-09-03,57016.912181303116
2013-09-04,23514.241014799154
2013-09-05,27093.425472358293
2013-09-06,27029.99027777778
2013-09-07,23582.133564013842
2013-09-08,26646.22870879121
2013-09-09,33364.32543978349
2013-09-10,63803.330862533694
2013-09-11,65743.82657807309
2013-09-12,45322.99008592201
2013-09-13,47328.89431968296
2013-09-14,20432.350263852244
2013-09-15,24158.854628422425
2013-09-16,103692.24502886465
2013-09-17,48569.034416826005
2013-09-18,27359.21478648821
2013-09-19,15812.410976388002
2013-09-20,17907.678030303032
2013-09-21,20419.87397605545
2013-09-22,42408.397613065325
2013-09-23,33823.11881188119
2013-09-24,45357.8857666463
2013-09-25,28843.29957291031
2013-09-26,41748.90218712029
2013-09-27,25401.277710843373
2013-09-28,23978.296163069543
2013-09-29,20496.338095238094
2013-09-30,16853.442136498517
2013-10-01,11283.902712264151
2013-10-02,6809.604240282685
2013-10-03,5927.930751173709
2013-10-04,11607.981924198251
2013-10-05,15346.150174621653
2013-10-06,22207.943233944956
2013-10-07,24539.984518348625
2013-10-08,62213.54787535411
2013-10-09,40686.684831460676
2013-10-10,40164.12980501393
2013-10-11,45350.93636862315
2013-10-12,44366.812567713976
2013-10-13,37845.734574468086
2013-10-14,68227.9057591623
2013-10-15,43593.23702950153
2013-10-16,50423.62187812188
2013-10-17,41426.70641330166
2013-10-18,46102.137153593234
2013-10-19,24492.37004608295
2013-10-20,21410.43523083819
2013-10-21,46709.37885462555
2013-10-22,62790.64079344545
2013-10-23,45474.97299614231
2013-10-24,29387.502113271345
2013-10-25,29558.940405748097
2013-10-26,23435.26944094157
2013-10-27,28383.782554257094
2013-10-28,53583.41920857378
2013-10-29,41315.847773279354
2013-10-30,43448.201267828845
2013-10-31,35546.012900703674
2013-11-01,57443.83136657785
2013-11-02,23393.185240963856
2013-11-03,25800.927525347353
2013-11-04,109739.3573518654
2013-11-05,61323.66576271186
2013-11-06,59286.15158444953
2013-11-07,52768.91737354697
2013-11-08,70655.32652439024
2013-11-09,37560.74487674487
2013-11-10,44871.6229240403
2013-11-11,41615.98397075366
2013-11-12,42614.70924225029
2013-11-13,49491.06209242983
2013-11-14,47617.930272108846
2013-11-15,34887.90117911286
2013-11-16,32765.17896781354
2013-11-17,30795.21267217631
2013-11-18,53125.23120759837
2013-11-19,35265.884295302014
2013-11-20,44121.88050982475
2013-11-21,58618.324410283596
2013-11-22,33814.44014732965
2013-11-23,22936.68416988417
2013-11-24,26187.97723785166
2013-11-25,37119.98032290616
2013-11-26,64493.30217445639
2013-11-27,33417.83486238532
2013-11-28,34517.26969622129
2013-11-29,29945.3431085044
2013-11-30,28235.1998067166
2013-12-01,32940.75298614429
2013-12-02,81441.80613207548
2013-12-03,62978.63478668542
2013-12-04,51131.49394221808
2013-12-05,44029.83087217351
2013-12-06,35060.39138447362
2013-12-07,31839.203347088493
2013-12-08,28441.562969710772
2013-12-09,39442.82113821138
2013-12-10,40123.32036664431
2013-12-11,53102.473882248785
2013-12-12,30760.46614069691
2013-12-13,35978.30238147258
2013-12-14,28059.490323983475
2013-12-15,44294.8336919105
2013-12-16,42029.931764705885
2013-12-17,41123.76446894212
2013-12-18,37924.20117845118
2013-12-19,48846.19632030107
2013-12-20,27578.780387309434
2013-12-21,22904.044785276074
2013-12-22,31315.748125633232
2013-12-23,39917.125326370755
2013-12-24,60959.348103792414
2013-12-25,75337.19484638255
2013-12-26,43389.286783533586
2013-12-27,41258.34805550127
2013-12-28,37402.135014548985
2013-12-29,31196.550811437402
2013-12-30,54669.48797250859
2013-12-31,50561.41764929631
2014-01-01,62521.55016058946
2014-01-02,81452.57284644195
2014-01-03,63653.66672869371
2014-01-04,34371.24307351311
2014-01-05,37576.27339047966
2014-01-06,80249.1915125136
2014-01-07,106065.91654676259
2014-01-08,46971.20797011208
2014-01-09,49716.34555437478
2014-01-10,41711.565690229785
2014-01-11,42228.21616932686
2014-01-12,39111.60795065113
2014-01-13,75224.06223717409
2014-01-14,58740.47531270573
2014-01-15,63788.90449804433
2014-01-16,60329.37779565567
2014-01-17,55347.99759653902
2014-01-18,37204.95979578813
2014-01-19,29528.082641991066
2014-01-20,52850.78340941288
2014-01-21,64690.47492948919
2014-01-22,77853.66937246332
2014-01-23,74898.89499066584
2014-01-24,94959.62486469769
2014-01-25,67553.5738584125
2014-01-26,80060.98787878788
2014-01-27,99184.95079987927
2014-01-28,126204.51024988777
2014-01-29,141422.3694135115
2014-01-30,33770.3676100163
2014-01-31,12873.975379625534
2014-02-01,9481.88377581121
2014-02-02,8525.358604445753
2014-02-03,12345.168789342702
2014-02-04,12212.21109489051
2014-02-05,30371.057678337933
2014-02-06,32832.89279538905
2014-02-07,81811.76268551237
2014-02-08,50225.076125052576
2014-02-09,47566.94963828603
2014-02-10,88621.01560361347
2014-02-11,111280.67477575428
2014-02-12,102513.74042724707
2014-02-13,83794.4636983554
2014-02-14,64533.19752761704
2014-02-15,33302.018385708696
2014-02-16,42912.139360186506
2014-02-17,90227.19907998978
2014-02-18,75239.3389529725
2014-02-19,51692.14759493671
2014-02-20,59828.25621486571
2014-02-21,43891.095722256665
2014-02-22,34908.12055947518
2014-02-23,41315.72824221623
2014-02-24,79265.34359903382
2014-02-25,67534.26282358581
2014-02-26,81028.46286598429
2014-02-27,79728.58862559241
2014-02-28,50712.29642772652
2014-03-01,42735.317394888705
2014-03-02,32372.507032348803
2014-03-03,58790.67620709715
2014-03-04,60679.13174345913
2014-03-05,52326.1334945865
2014-03-06,64218.99519890261
2014-03-07,43251.766867675506
2014-03-08,27572.726850277682
2014-03-09,27630.674983066154
2014-03-10,55962.425565432655
2014-03-11,48154.453691275165
2014-03-12,41936.362291434925
2014-03-13,38395.266659274865
2014-03-14,34855.72448416639
2014-03-15,31610.97690277167
2014-03-16,29567.269344748107
2014-03-17,36981.35507799716
2014-03-18,47448.14959686206
2014-03-19,38833.322228231475
2014-03-20,39193.760871899496
2014-03-21,30227.151054490954
2014-03-22,20498.303571428572
2014-03-23,17825.88556525442
2014-03-24,33074.27753722674
