report_date,user_amount
2013-07-01,441
2013-07-02,480
2013-07-03,499
2013-07-04,523
2013-07-05,544
2013-07-06,553
2013-07-07,566
2013-07-08,580
2013-07-09,614
2013-07-10,619
2013-07-11,658
2013-07-12,677
2013-07-13,694
2013-07-14,697
2013-07-15,714
2013-07-16,739
2013-07-17,765
2013-07-18,772
2013-07-19,788
2013-07-20,810
2013-07-21,817
2013-07-22,840
2013-07-23,869
2013-07-24,885
2013-07-25,906
2013-07-26,925
2013-07-27,918
2013-07-28,936
2013-07-29,952
2013-07-30,970
2013-07-31,977
2013-08-01,990
2013-08-02,1011
2013-08-03,1011
2013-08-04,1027
2013-08-05,1045
2013-08-06,1061
2013-08-07,1084
2013-08-08,1095
2013-08-09,1102
2013-08-10,1104
2013-08-11,1117
2013-08-12,1135
2013-08-13,1158
2013-08-14,1167
2013-08-15,1174
2013-08-16,1180
2013-08-17,1183
2013-08-18,1203
2013-08-19,1202
2013-08-20,1226
2013-08-21,1224
2013-08-22,1251
2013-08-23,1266
2013-08-24,1261
2013-08-25,1276
2013-08-26,1294
2013-08-27,1310
2013-08-28,1321
2013-08-29,1338
2013-08-30,1347
2013-08-31,1366
2013-09-01,1381
2013-09-02,1410
2013-09-03,1412
2013-09-04,1419
2013-09-05,1429
2013-09-06,1440
2013-09-07,1445
2013-09-08,1456
2013-09-09,1478
2013-09-10,1484
2013-09-11,1505
2013-09-12,1513
2013-09-13,1514
2013-09-14,1516
2013-09-15,1534
2013-09-16,1559
2013-09-17,1569
2013-09-18,1569
2013-09-19,1567
2013-09-20,1584
2013-09-21,1587
2013-09-22,1592
2013-09-23,1616
2013-09-24,1637
2013-09-25,1639
2013-09-26,1646
2013-09-27,1660
2013-09-28,1668
2013-09-29,1680
2013-09-30,1685
2013-10-01,1696
2013-10-02,1698
2013-10-03,1704
2013-10-04,1715
2013-10-05,1718
2013-10-06,1744
2013-10-07,1744
2013-10-08,1765
2013-10-09,1780
2013-10-10,1795
2013-10-11,1823
2013-10-12,1846
2013-10-13,1880
2013-10-14,1910
2013-10-15,1966
2013-10-16,2002
2013-10-17,2105
2013-10-18,2129
2013-10-19,2170
2013-10-20,2231
2013-10-21,2270
2013-10-22,2319
2013-10-23,2333
2013-10-24,2366
2013-10-25,2366
2013-10-26,2379
2013-10-27,2396
2013-10-28,2426
