report_date,total_purchase_amt
2013-07-01,187495.63414634147
2013-07-02,196692.08139534883
2013-07-03,130008.77906976744
2013-07-04,81278.75
2013-07-05,63077.1067961165
2013-07-06,248166.62962962964
2013-07-07,30884.590476190475
2013-07-08,402307.26168224297
2013-07-09,170196.2983870968
2013-07-10,107181.14516129032
2013-07-11,232480.96183206106
2013-07-12,165137.3432835821
2013-07-13,57289.48226950355
2013-07-14,124400.23741007195
2013-07-15,187508.24489795917
2013-07-16,245068.88079470198
2013-07-17,127999.45161290323
2013-07-18,63156.43312101911
2013-07-19,115476.20625
2013-07-20,32807.049382716046
2013-07-21,62807.67272727273
2013-07-22,171905.56886227545
2013-07-23,238287.36781609195
2013-07-24,200253.09497206705
2013-07-25,203065.62295081967
2013-07-26,191816.95135135134
2013-07-27,57404.3591160221
2013-07-28,151219.22826086957
2013-07-29,174523.26737967914
2013-07-30,189972.26842105263
2013-07-31,209956.52307692307
2013-08-01,177810.89393939395
2013-08-02,145348.27
2013-08-03,39335.455
2013-08-04,166850.66169154228
2013-08-05,152490.46829268293
2013-08-06,126974.41062801932
2013-08-07,127926.51886792453
2013-08-08,134250.4882629108
2013-08-09,104877.17674418604
2013-08-10,60491.07407407407
2013-08-11,201200.32876712328
2013-08-12,329007.66222222225
2013-08-13,129101.55555555556
2013-08-14,54037.404444444444
2013-08-15,117872.6814159292
2013-08-16,93784.70484581498
2013-08-17,23525.902654867255
2013-08-18,196341.31304347827
2013-08-19,399769.17596566526
2013-08-20,168294.9021276596
2013-08-21,113073.78389830509
2013-08-22,288396.03319502075
2013-08-23,109907.99591836735
2013-08-24,133378.9670781893
2013-08-25,115177.05327868853
2013-08-26,189131.948
2013-08-27,125741.8046875
2013-08-28,116327.37065637065
2013-08-29,121571.22265625
2013-08-30,113720.0153256705
2013-08-31,119534.09541984733
2013-09-01,138349.04511278195
2013-09-02,430258.1070110701
2013-09-03,226763.7169117647
2013-09-04,54003.854545454546
2013-09-05,73241.88405797101
2013-09-06,78990.4892086331
2013-09-07,55760.01792114695
2013-09-08,79101.98947368421
2013-09-09,102137.43157894736
2013-09-10,237073.82926829267
2013-09-11,236332.54137931034
2013-09-12,176003.01020408163
2013-09-13,183220.68027210885
2013-09-14,85270.14237288135
2013-09-15,71032.10402684564
2013-09-16,471121.3754152824
2013-09-17,169044.94370860927
2013-09-18,92688.07357859531
2013-09-19,32747.88255033557
2013-09-20,60383.73648648649
2013-09-21,49201.99326599327
2013-09-22,138075.14333333334
2013-09-23,76171.91
2013-09-24,183537.92409240923
2013-09-25,93382.49671052632
2013-09-26,158934.4577922078
2013-09-27,64669.92459016394
2013-09-28,60438.71290322581
2013-09-29,55869.53184713376
2013-09-30,62920.04100946372
2013-10-01,26904.347003154573
2013-10-02,18638.028301886792
2013-10-03,20551.13125
2013-10-04,38577.92283950617
2013-10-05,30346.544891640868
2013-10-06,84243.32012195123
2013-10-07,50798.740061162076
2013-10-08,219901.32934131735
2013-10-09,129437.71130952382
2013-10-10,137584.84164222874
2013-10-11,146976.2274052478
2013-10-12,151076.44606413995
2013-10-13,124154.56609195402
2013-10-14,250972.5340909091
2013-10-15,134642.91340782124
2013-10-16,165248.4478021978
2013-10-17,164782.7345844504
2013-10-18,167016.9414893617
2013-10-19,94884.24281984335
2013-10-20,63334.41602067184
2013-10-21,138082.06476683938
2013-10-22,262474.67418546363
2013-10-23,188535.2775
2013-10-24,100339.00493827161
2013-10-25,113632.598062954
2013-10-26,90934.5845410628
2013-10-27,103043.58150851581
2013-10-28,232688.61556603774
2013-10-29,146178.33018867925
2013-10-30,159239.29906542055
2013-10-31,122880.56422018349
2013-11-01,260334.40497737555
2013-11-02,87264.24608501118
2013-11-03,101463.57333333333
2013-11-04,555258.9956616051
2013-11-05,195850.39085239085
2013-11-06,186891.76363636364
2013-11-07,150008.0480961924
2013-11-08,297356.16015625
2013-11-09,143365.04238921002
2013-11-10,92949.23431734317
2013-11-11,173135.15009380862
2013-11-12,156035.38941398865
2013-11-13,228418.67225325885
2013-11-14,186271.02416356877
2013-11-15,132736.5821167883
2013-11-16,124185.54480286739
2013-11-17,95254.52762923352
2013-11-18,213339.7947826087
2013-11-19,114452.39273356402
2013-11-20,146959.05831903944
2013-11-21,271163.41056218056
2013-11-22,129664.11635750422
2013-11-23,87430.71092436975
2013-11-24,100813.23578595318
2013-11-25,146180.66174055828
2013-11-26,306069.862745098
2013-11-27,133267.60453808753
2013-11-28,136847.5616883117
2013-11-29,104630.86850649351
2013-11-30,92858.15993537965
2013-12-01,149743.8821656051
2013-12-02,410471.63322884013
2013-12-03,288167.1172839506
2013-12-04,258253.52
2013-12-05,173889.81638846738
2013-12-06,148609.76096822997
2013-12-07,144758.2837632777
2013-12-08,126485.9335347432
2013-12-09,142951.49476831092
2013-12-10,147860.3952451709
2013-12-11,224476.8976608187
2013-12-12,107086.02898550725
2013-12-13,126704.56231884057
2013-12-14,120394.42547033285
2013-12-15,183572.4148783977
2013-12-16,145504.83309759546
2013-12-17,172654.28772919605
2013-12-18,170180.3207810321
2013-12-19,191746.52981969487
2013-12-20,108841.15256588072
2013-12-21,73938.59388038942
2013-12-22,115111.98340248963
2013-12-23,196332.4828532236
2013-12-24,329935.9670781893
2013-12-25,390025.3685636856
2013-12-26,175640.54582210243
