report_date,user_amount
2013-07-01,359
2013-07-02,394
2013-07-03,413
2013-07-04,423
2013-07-05,441
2013-07-06,445
2013-07-07,461
2013-07-08,473
2013-07-09,490
2013-07-10,495
2013-07-11,527
2013-07-12,543
2013-07-13,553
2013-07-14,558
2013-07-15,567
2013-07-16,588
2013-07-17,610
2013-07-18,615
2013-07-19,628
2013-07-20,648
2013-07-21,652
2013-07-22,673
2013-07-23,695
2013-07-24,706
2013-07-25,723
2013-07-26,740
2013-07-27,737
2013-07-28,752
2013-07-29,765
2013-07-30,780
2013-07-31,782
2013-08-01,792
2013-08-02,811
2013-08-03,811
2013-08-04,826
2013-08-05,840
2013-08-06,854
2013-08-07,872
2013-08-08,882
2013-08-09,887
2013-08-10,888
2013-08-11,898
2013-08-12,910
2013-08-13,933
2013-08-14,942
2013-08-15,948
2013-08-16,953
2013-08-17,957
2013-08-18,973
2013-08-19,969
2013-08-20,991
2013-08-21,988
2013-08-22,1010
2013-08-23,1021
2013-08-24,1018
2013-08-25,1032
2013-08-26,1044
2013-08-27,1054
2013-08-28,1062
2013-08-29,1082
2013-08-30,1086
2013-08-31,1104
2013-09-01,1115
2013-09-02,1139
2013-09-03,1140
2013-09-04,1144
2013-09-05,1153
2013-09-06,1162
2013-09-07,1166
2013-09-08,1171
2013-09-09,1193
2013-09-10,1197
2013-09-11,1215
2013-09-12,1219
2013-09-13,1220
2013-09-14,1221
2013-09-15,1236
2013-09-16,1258
2013-09-17,1267
2013-09-18,1270
2013-09-19,1269
2013-09-20,1288
2013-09-21,1290
2013-09-22,1292
2013-09-23,1316
2013-09-24,1334
2013-09-25,1335
2013-09-26,1338
2013-09-27,1355
2013-09-28,1358
2013-09-29,1366
2013-09-30,1368
2013-10-01,1379
2013-10-02,1380
2013-10-03,1384
2013-10-04,1391
2013-10-05,1395
2013-10-06,1416
2013-10-07,1417
2013-10-08,1431
2013-10-09,1444
2013-10-10,1454
2013-10-11,1480
2013-10-12,1503
2013-10-13,1532
2013-10-14,1558
2013-10-15,1608
2013-10-16,1638
2013-10-17,1732
2013-10-18,1753
2013-10-19,1787
2013-10-20,1844
2013-10-21,1884
2013-10-22,1920
2013-10-23,1933
2013-10-24,1961
2013-10-25,1953
2013-10-26,1965
2013-10-27,1985
2013-10-28,2002
2013-10-29,2046
2013-10-30,2096
2013-10-31,2122
2013-11-01,2185
2013-11-02,2209
2013-11-03,2213
2013-11-04,2273
2013-11-05,2469
2013-11-06,2566
2013-11-07,2684
2013-11-08,2768
2013-11-09,2848
2013-11-10,3131
2013-11-11,3023
2013-11-12,2955
2013-11-13,2990
2013-11-14,2990
2013-11-15,3014
2013-11-16,3046
2013-11-17,3069
2013-11-18,3110
2013-11-19,3147
2013-11-20,3183
2013-11-21,3186
2013-11-22,3208
2013-11-23,3290
2013-11-24,3312
2013-11-25,3355
2013-11-26,3389
2013-11-27,3416
2013-11-28,3433
2013-11-29,3476
2013-11-30,3520
2013-12-01,3558
2013-12-02,3602
2013-12-03,3618
2013-12-04,3642
2013-12-05,3675
2013-12-06,3680
2013-12-07,3703
2013-12-08,3729
2013-12-09,3759
