report_date,total_redeem_amt
2013-07-01,48645.89024390244
2013-07-02,5846.686046511628
2013-07-03,53959.395348837206
2013-07-04,18717.77
2013-07-05,3586.990291262136
2013-07-06,760.5
2013-07-07,30111.24761904762
2013-07-08,69113.2336448598
2013-07-09,14966.467741935483
2013-07-10,1220.0806451612902
2013-07-11,9027.389312977099
2013-07-12,36610.850746268654
2013-07-13,9156.17730496454
2013-07-14,3191.705035971223
2013-07-15,68629.80952380953
2013-07-16,64700.23841059603
2013-07-17,52748.36129032258
2013-07-18,35615.06369426752
2013-07-19,50154.1125
2013-07-20,5746.37037037037
2013-07-21,6442.684848484849
2013-07-22,68134.02395209581
2013-07-23,85245.90229885057
2013-07-24,171229.2122905028
2013-07-25,146624.8961748634
2013-07-26,193247.51351351352
2013-07-27,60519.62430939227
2013-07-28,7340.967391304348
2013-07-29,78395.90909090909
2013-07-30,48767.257894736846
2013-07-31,14177.589743589744
2013-08-01,72592.88888888889
2013-08-02,168864.24
2013-08-03,87174.71
2013-08-04,22175.67661691542
2013-08-05,43456.81463414634
2013-08-06,29667.299516908213
2013-08-07,118108.9858490566
2013-08-08,107386.78873239437
2013-08-09,114701.58604651163
2013-08-10,94113.90277777778
2013-08-11,49768.09589041096
2013-08-12,91121.58222222222
2013-08-13,92216.16444444444
2013-08-14,25242.82222222222
2013-08-15,197321.84513274336
2013-08-16,118064.37885462555
2013-08-17,4301.862831858407
2013-08-18,55183.99130434782
2013-08-19,76770.31330472103
2013-08-20,96600.57021276596
2013-08-21,83868.46610169491
2013-08-22,70380.32780082988
2013-08-23,28282.648979591835
2013-08-24,37141.8683127572
2013-08-25,48106.75409836065
2013-08-26,50500.504
2013-08-27,181128.765625
2013-08-28,105562.30501930501
2013-08-29,120102.85546875
2013-08-30,61090.54406130268
2013-08-31,69098.18702290076
2013-09-01,202793.34962406015
2013-09-02,48853.221402214025
2013-09-03,117211.69117647059
2013-09-04,54011.93454545455
2013-09-05,36985.10144927536
2013-09-06,79449.62589928058
2013-09-07,50489.41577060932
2013-09-08,23848.4350877193
2013-09-09,109610.60350877194
2013-09-10,85878.64459930314
2013-09-11,194336.35517241378
2013-09-12,94478.33673469388
2013-09-13,137916.6768707483
2013-09-14,89080.51186440678
2013-09-15,58908.18120805369
2013-09-16,104168.58139534884
2013-09-17,155274.46357615895
2013-09-18,110670.70234113712
2013-09-19,6774.177852348993
2013-09-20,22991.239864864863
2013-09-21,61142.56565656565
2013-09-22,124221.73666666666
2013-09-23,132429.86666666667
2013-09-24,146605.73267326734
2013-09-25,187473.95065789475
2013-09-26,99393.29220779221
2013-09-27,61008.18032786885
2013-09-28,133736.7129032258
2013-09-29,75101.15286624203
2013-09-30,57985.44479495268
2013-10-01,10344.485804416403
2013-10-02,6925.361635220126
2013-10-03,7387.778125
2013-10-04,56302.253086419754
2013-10-05,25408.148606811144
2013-10-06,23277.935975609755
2013-10-07,37898.08256880734
2013-10-08,202570.55389221557
2013-10-09,46077.73809523809
2013-10-10,74759.22873900294
2013-10-11,32216.97084548105
2013-10-12,61221.48396501458
2013-10-13,63708.58620689655
2013-10-14,29143.59943181818
2013-10-15,41089.62849162011
2013-10-16,105052.46703296703
2013-10-17,28934.643431635388
2013-10-18,16282.843085106382
2013-10-19,38280.454308094
2013-10-20,109799.6046511628
2013-10-21,71897.40155440415
2013-10-22,198973.06516290727
2013-10-23,144075.4
2013-10-24,91473.27160493827
2013-10-25,101378.34866828087
2013-10-26,61143.35990338164
2013-10-27,90237.99270072993
2013-10-28,71576.7429245283
2013-10-29,67335.1108490566
2013-10-30,117007.58644859813
2013-10-31,96399.62155963303
2013-11-01,106069.39366515836
2013-11-02,24804.16331096197
2013-11-03,29373.124444444446
2013-11-04,247148.28199566161
2013-11-05,68239.37214137214
2013-11-06,142886.25454545455
2013-11-07,58194.1503006012
2013-11-08,97089.837890625
2013-11-09,46423.68208092485
2013-11-10,80936.92066420664
2013-11-11,213422.43714821764
2013-11-12,194326.415879017
2013-11-13,98983.94227188082
2013-11-14,49326.00185873606
2013-11-15,48512.687956204376
2013-11-16,21733.76523297491
2013-11-17,43459.83244206774
2013-11-18,196538.7286956522
2013-11-19,66103.4723183391
2013-11-20,103601.64665523155
2013-11-21,81601.24872231687
2013-11-22,65922.97470489038
2013-11-23,50095.79159663866
2013-11-24,101911.0602006689
2013-11-25,64819.860426929394
2013-11-26,62105.33496732026
2013-11-27,90688.3322528363
2013-11-28,51770.68668831169
2013-11-29,151638.71915584416
2013-11-30,142013.14862681745
2013-12-01,100240.8152866242
2013-12-02,126473.76489028214
2013-12-03,104346.66975308642
2013-12-04,58137.92615384615
2013-12-05,124858.06676783005
2013-12-06,74554.99848714069
2013-12-07,74688.71320182094
2013-12-08,67882.99395770393
2013-12-09,120797.6846038864
2013-12-10,159913.33283803862
2013-12-11,115032.92543859649
2013-12-12,66505.78260869565
2013-12-13,87187.4115942029
2013-12-14,27665.61505065123
2013-12-15,33183.26180257511
2013-12-16,154192.83309759546
2013-12-17,118821.29901269394
2013-12-18,237087.95536959553
2013-12-19,171495.72676837727
2013-12-20,147193.91816920944
2013-12-21,73696.04728789986
2013-12-22,65587.00829875519
2013-12-23,114839.81893004115
2013-12-24,88974.890260631
2013-12-25,171918.42953929538
2013-12-26,270464.9002695418
2013-12-27,156694.6907630522
2013-12-28,47248.094289508634
2013-12-29,33595.96296296296
2013-12-30,157622.677124183
2013-12-31,110723.35019455253
2014-01-01,51564.581606217616
2014-01-02,187455.60485933503
2014-01-03,79204.91094147583
2014-01-04,82138.51580278129
2014-01-05,148954.148055207
2014-01-06,185164.5425
2014-01-07,110558.21739130435
2014-01-08,181017.1987654321
2014-01-09,118076.57894736843
2014-01-10,77719.21733821734
2014-01-11,43992.34137515078
2014-01-12,123385.11561382598
2014-01-13,142926.50470588234
2014-01-14,125352.36694021102
2014-01-15,122368.61413673233
2014-01-16,124198.69044879172
2014-01-17,90013.30609896433
2014-01-18,97480.61714285714
2014-01-19,76790.23542857142
2014-01-20,400353.5627118644
2014-01-21,240623.41873589164
2014-01-22,235123.00225479144
2014-01-23,153309.9798657718
2014-01-24,283042.8068812431
2014-01-25,130428.29217199559
2014-01-26,265282.197167756
2014-01-27,193238.08069792803
2014-01-28,165839.6374331551
2014-01-29,130493.85881104034
2014-01-30,66452.89395546129
2014-01-31,28073.50580781415
2014-02-01,39125.567053854276
2014-02-02,9932.489406779661
2014-02-03,17964.634920634922
2014-02-04,22852.621196222455
2014-02-05,56112.226890756305
2014-02-06,63905.11413612565
2014-02-07,187079.04540763673
2014-02-08,125852.72643442624
2014-02-09,200257.24847870183
2014-02-10,337577.8407960199
2014-02-11,145265.07936507938
2014-02-12,250393.7551622419
2014-02-13,280445.3134765625
2014-02-14,168113.94476744186
2014-02-15,61082.892337536374
2014-02-16,119087.76527643065
2014-02-17,296798.41722488037
2014-02-18,182441.81661891117
2014-02-19,231561.8026565465
2014-02-20,123899.5625
2014-02-21,86414.19074598678
2014-02-22,69727.87206020697
2014-02-23,121626.779342723
2014-02-24,313486.868640148
2014-02-25,197909.45146520148
2014-02-26,184259.91864716637
2014-02-27,352237.6718041704
2014-02-28,194554.49321266968
2014-03-01,103787.64806480648
2014-03-02,134411.88061041292
2014-03-03,358265.53475935827
2014-03-04,126606.81639928698
2014-03-05,99607.06908768821
2014-03-06,147326.9858281665
2014-03-07,167275.74356699202
2014-03-08,61703.789893617024
2014-03-09,109943.25308641975
2014-03-10,149495.3759929391
2014-03-11,359951.3107989464
2014-03-12,283217.32954545453
2014-03-13,213875.25567190227
2014-03-14,164381.50436300173
2014-03-15,148209.56430446194
2014-03-16,288298.52185314684
2014-03-17,256312.8826619965
2014-03-18,263686.75415573054
2014-03-19,292247.92024539877
2014-03-20,205367.62292213473
2014-03-21,136730.28458844134
2014-03-22,48587.31408573928
2014-03-23,91045.80472854641
2014-03-24,280452.6012216405
2014-03-25,166466.25701754386
2014-03-26,291876.2364273205
2014-03-27,222053.79159369526
2014-03-28,250743.49562937062
2014-03-29,79297.58347826087
2014-03-30,162060.72309027778
2014-03-31,252659.37348353554
2014-04-01,145654.8547968885
2014-04-02,144166.98528138528
2014-04-03,145965.02683982684
2014-04-04,90374.24263431542
2014-04-05,84109.29116117851
2014-04-06,49106.53846153846
2014-04-07,81940.62435233161
2014-04-08,148343.60553633218
2014-04-09,155389.5224137931
2014-04-10,153733.59208261617
2014-04-11,167125.39156626505
2014-04-12,45198.86488812393
2014-04-13,91928.06946826758
2014-04-14,262221.75534644997
2014-04-15,166298.2241231822
2014-04-16,140221.59589041097
2014-04-17,138631.64353041988
2014-04-18,120542.27739726027
2014-04-19,56189.744225834045
2014-04-20,61367.77958833619
2014-04-21,163093.35102739726
