report_date,total_purchase_amt
2013-07-01,32488348
2013-07-02,29037390
2013-07-03,27270770
2013-07-04,18321185
2013-07-05,11648749
2013-07-06,36751272
2013-07-07,8962232
2013-07-08,57258266
2013-07-09,26798941
2013-07-10,30696506
2013-07-11,44075197
2013-07-12,34183904
2013-07-13,15164717
2013-07-14,22615303
2013-07-15,48128555
2013-07-16,50622847
2013-07-17,29015682
2013-07-18,24234505
2013-07-19,33680124
2013-07-20,20439079
2013-07-21,21142394
2013-07-22,40448896
2013-07-23,58136147
2013-07-24,48422518
2013-07-25,57433418
2013-07-26,44721817
2013-07-27,17194451
2013-07-28,36255382
2013-07-29,53512076
2013-07-30,47481243
2013-07-31,54569637
2013-08-01,53369962
2013-08-02,38064536
2013-08-03,21595789
2013-08-04,45745254
2013-08-05,43632203
2013-08-06,50866184
2013-08-07,43908081
2013-08-08,44493490
2013-08-09,33425186
2013-08-10,20615307
2013-08-11,55519543
2013-08-12,94520502
2013-08-13,48720919
2013-08-14,30541167
2013-08-15,42421222
2013-08-16,41683536
2013-08-17,17670519
2013-08-18,59703092
2013-08-19,109184209
2013-08-20,53675509
2013-08-21,38184446
2013-08-22,89130737
2013-08-23,37878575
2013-08-24,44367268
2013-08-25,43306288
2013-08-26,74496541
2013-08-27,45268028
2013-08-28,46602319
2013-08-29,47518666
2013-08-30,56488844
2013-08-31,47655303
2013-09-01,56239802
2013-09-02,140844739
2013-09-03,80507880
2013-09-04,33366708
2013-09-05,38716505
2013-09-06,38923186
2013-09-07,34076183
2013-09-08,38796909
2013-09-09,49312473
2013-09-10,94684143
2013-09-11,98944459
2013-09-12,68573684
2013-09-13,71655946
2013-09-14,30975443
2013-09-15,37059683
2013-09-16,161656210
2013-09-17,76204815
2013-09-18,42926608
2013-09-19,24778048
2013-09-20,28365762
2013-09-21,32406340
2013-09-22,67514169
2013-09-23,54658160
2013-09-24,74250859
2013-09-25,47274168
2013-09-26,68718693
2013-09-27,42166121
2013-09-28,39995798
2013-09-29,34433848
2013-09-30,28398050
2013-10-01,19137499
2013-10-02,11562708
2013-10-03,10101194
2013-10-04,19907689
2013-10-05,26364686
2013-10-06,38730653
2013-10-07,42797733
2013-10-08,109806912
2013-10-09,72422299
2013-10-10,72094613
2013-10-11,82674757
2013-10-12,81901136
2013-10-13,71149981
2013-10-14,130315300
2013-10-15,85704304
2013-10-16,100948091
2013-10-17,87203217
2013-10-18,98151450
2013-10-19,53148443
2013-10-20,47766681
2013-10-21,106030290
2013-10-22,145611496
2013-10-23,106093112
2013-10-24,69530830
2013-10-25,69936453
2013-10-26,55752506
2013-10-27,68007543
2013-10-28,129993375
2013-10-29,102050144
