report_date,total_redeem_amt
2013-07-01,5525022
2013-07-02,2554548
2013-07-03,5953867
2013-07-04,6410729
2013-07-05,2763587
2013-07-06,1616635
2013-07-07,3982735
2013-07-08,8347729
2013-07-09,3473059
2013-07-10,2597169
2013-07-11,3508800
2013-07-12,8492573
2013-07-13,3482829
2013-07-14,2784107
2013-07-15,13107943
2013-07-16,11864981
2013-07-17,10911513
2013-07-18,11765356
2013-07-19,9244769
2013-07-20,4601143
2013-07-21,2681331
2013-07-22,19144267
2013-07-23,24404051
2013-07-24,36258592
2013-07-25,38212836
2013-07-26,39192369
2013-07-27,15058893
2013-07-28,7683211
2013-07-29,18599364
2013-07-30,13048582
2013-07-31,9534040
2013-08-01,18864468
2013-08-02,40150769
2013-08-03,20701797
2013-08-04,8263965
2013-08-05,15797507
2013-08-06,16401387
2013-08-07,29708706
2013-08-08,29551691
2013-08-09,30131015
2013-08-10,26614408
2013-08-11,15372680
2013-08-12,28586669
2013-08-13,28790328
2013-08-14,15031683
2013-08-15,52659327
2013-08-16,33739844
2013-08-17,4674983
2013-08-18,15218300
2013-08-19,28339260
2013-08-20,30131225
2013-08-21,29983342
2013-08-22,25000672
2013-08-23,25680323
2013-08-24,14316598
2013-08-25,18117808
2013-08-26,20637986
2013-08-27,60137633
2013-08-28,33696861
2013-08-29,35944968
2013-08-30,20630752
2013-08-31,22012016
2013-09-01,59339949
2013-09-02,17785524
2013-09-03,39328144
2013-09-04,27452600
2013-09-05,21800904
2013-09-06,33417903
2013-09-07,20344424
2013-09-08,14919122
2013-09-09,45621186
2013-09-10,37128363
2013-09-11,71674082
2013-09-12,45147220
2013-09-13,60512675
2013-09-14,36312660
2013-09-15,25020715
2013-09-16,45184589
2013-09-17,58260798
2013-09-18,47203221
2013-09-19,11418512
2013-09-20,15188254
2013-09-21,26596179
2013-09-22,47962055
2013-09-23,58285879
2013-09-24,56680792
2013-09-25,74838162
2013-09-26,48467529
2013-09-27,27639603
2013-09-28,58105720
2013-09-29,40295202
2013-09-30,30181353
2013-10-01,12813267
2013-10-02,7233874
2013-10-03,6223263
2013-10-04,23412350
2013-10-05,13966453
2013-10-06,13464528
2013-10-07,28894400
2013-10-08,77856096
2013-10-09,33999376
2013-10-10,52244531
2013-10-11,27666473
2013-10-12,31322983
2013-10-13,31850475
2013-10-14,40652625
2013-10-15,35099198
2013-10-16,51261982
2013-10-17,23274764
2013-10-18,15938355
2013-10-19,26684697
2013-10-20,50884342
2013-10-21,45781403
2013-10-22,96172537
2013-10-23,73788462
2013-10-24,58183921
2013-10-25,52225802
2013-10-26,49357211
2013-10-27,46520570
2013-10-28,55089464
2013-10-29,43052468
2013-10-30,63908701
2013-10-31,55607833
2013-11-01,66933119
2013-11-02,26705506
2013-11-03,30895754
2013-11-04,130970051
2013-11-05,82689864
2013-11-06,131707820
2013-11-07,83306452
2013-11-08,92856307
