,0
weekend,8736.457521044795
1st,-147.5294970567681
middle,-480.83243070935083
late,408.9198375848494
mon_or_fri_work,-434.49679718611935
day_after_holiday,3026.8317838864814
holiday,-8447.650209785263
holiday_2,-3937.5583077786573
day_after_holiday_2,-987.1656069387559
day_before_holiday_3,1447.3923884936712
holiday_3,-4510.091902006606
day_after_holiday_3,1972.5777105374768
holiday_1st_or_3rd,1052.6836292697942
day_before_or_after_holiday_normal_work,-1978.9682018359597
day_before_holiday_2,121.74980436411917
day_before_holiday_7,-2.2737367544323206e-13
sunday_work,5186.486379631649
workday1,-987.1656069387593
workday2,-2958.493741987585
workday3,-2766.2537011618374
workday4,-2146.2942753207262
workday5,121.74980436411826
