report_date,y
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,21701.479977839066
2014-04-05,21245.726698237835
2014-04-06,21409.52636810778
2014-04-07,21633.525815942063
2014-04-08,22661.6086950892
2014-04-09,22047.853082911643
2014-04-10,22552.118035676856
2014-04-11,25850.35891319057
2014-04-12,26264.285155855847
2014-04-13,25713.54027705574
2014-04-14,25342.711116782233
2014-04-15,24562.400198479885
2014-04-16,24850.0719728646
2014-04-17,24566.814228264266
2014-04-18,22813.80260395755
2014-04-19,22537.493067897034
2014-04-20,22806.432437849602
2014-04-21,22187.944939237503
2014-04-22,22165.007938885898
2014-04-23,22295.16495557105
2014-04-24,22681.599373571586
2014-04-25,23054.046966277674
2014-04-26,23529.145711786437
2014-04-27,23515.501637547786
2014-04-28,22371.27915468397
2014-04-29,20892.124315561476
2014-04-30,21432.987271523292
2014-05-01,24401.1688200553
2014-05-02,24099.688397990732
2014-05-03,24484.508084807097
2014-05-04,23856.178746760037
2014-05-05,25565.352387974403
2014-05-06,27221.61471459145
2014-05-07,26478.124070914844
2014-05-08,22917.283423191424
2014-05-09,22653.302326619527
2014-05-10,21481.94884344322
2014-05-11,22459.60420643315
2014-05-12,21947.556931447376
2014-05-13,22359.085318338526
2014-05-14,22311.290520589748
2014-05-15,22295.175952253237
2014-05-16,22240.53066679747
2014-05-17,22223.897858808596
2014-05-18,21295.393726509254
2014-05-19,21411.61127319972
2014-05-20,20663.266312180946
2014-05-21,20744.285355733642
2014-05-22,21714.14382081158
2014-05-23,21409.838427332674
2014-05-24,22160.743712732776
2014-05-25,24264.20403084645
2014-05-26,25044.27490902839
2014-05-27,26103.826808170383
2014-05-28,25942.57016121015
2014-05-29,24882.42277737271
2014-05-30,23526.29169099437
2014-05-31,24304.060001010956
2014-06-01,22827.263149689723
2014-06-02,23313.550928853023
2014-06-03,22783.065890459508
2014-06-04,22804.78543065505
2014-06-05,23033.682722868096
2014-06-06,24486.05094535098
2014-06-07,23328.715574051595
2014-06-08,22546.34263397457
2014-06-09,20995.111277402055
2014-06-10,22355.879368038048
2014-06-11,23380.863000600515
2014-06-12,22686.99057628754
2014-06-13,25201.505632242675
2014-06-14,27701.085099345284
2014-06-15,29845.722549200073
2014-06-16,30409.902588987636
2014-06-17,29113.270512382092
2014-06-18,29092.227888958732
2014-06-19,32103.750740246785
2014-06-20,30570.0923618059
2014-06-21,29587.61987225529
2014-06-22,31084.02892205362
2014-06-23,32690.436598780878
2014-06-24,34043.507124680895
2014-06-25,34662.01264573415
2014-06-26,33398.856161306496
2014-06-27,34363.573258114964
2014-06-28,33637.88311015646
2014-06-29,30905.307362499574
2014-06-30,29276.734680380927
2014-07-01,27588.76599296817
2014-07-02,27425.068096273182
2014-07-03,26596.663190335265
2014-07-04,24868.609060500792
2014-07-05,24438.935555318112
2014-07-06,23700.131784692338
2014-07-07,24134.41670402061
2014-07-08,23815.094397151985
2014-07-09,22298.994096971324
2014-07-10,22318.806098816567
2014-07-11,21881.64907695198
2014-07-12,20891.445663685878
2014-07-13,20433.893790269067
2014-07-14,20057.297906629858
2014-07-15,19652.11474895898
2014-07-16,19710.83082624309
2014-07-17,19394.214201486255
2014-07-18,21150.933859572648
2014-07-19,22395.3388880505
2014-07-20,23246.361467729206
2014-07-21,23798.12661435647
2014-07-22,24425.227655547555
2014-07-23,25922.249575701477
2014-07-24,25815.409566772763
2014-07-25,24731.4560913372
2014-07-26,23936.40515435435
2014-07-27,23226.398865654144
2014-07-28,22370.747160863644
2014-07-29,22222.514808307697
2014-07-30,20898.574026812727
2014-07-31,20418.13928689002
2014-08-01,20122.033398380285
2014-08-02,19132.660141332668
2014-08-03,19486.13937385736
2014-08-04,19183.027296736815
2014-08-05,19854.922278809816
2014-08-06,19733.68565226739
2014-08-07,20456.100663232784
2014-08-08,21536.911897096965
2014-08-09,22530.84325279848
2014-08-10,22748.17331692319
2014-08-11,22240.244541975524
2014-08-12,21332.88872272701
2014-08-13,21957.535723878304
2014-08-14,21350.46549987825
2014-08-15,19460.739071095144
2014-08-16,18799.545006052176
2014-08-17,17598.718501662166
2014-08-18,17664.173053161318
2014-08-19,16979.348138946843
2014-08-20,16728.88978207306
2014-08-21,17305.960450031038
2014-08-22,17888.538429143264
2014-08-23,18212.34237819069
2014-08-24,21225.604289809387
2014-08-25,22087.84734005927
2014-08-26,23134.04846656038
2014-08-27,23073.88382834183
2014-08-28,24202.695827021686
2014-08-29,
2014-08-30,
2014-08-31,
